storm_id,n_samples,Previous_EXP1_(Verified)_center_mean_dpe,Previous_EXP1_(Verified)_center_median_dpe,Previous_EXP1_(Verified)_track_12h_dpe,Previous_EXP1_(Verified)_track_24h_dpe,Previous_EXP1_(Verified)_track_48h_dpe,Previous_EXP1_(Verified)_track_agg_dpe,Previous_EXP1_(Verified)_wind_mae,Previous_EXP1_(Verified)_wind_bias,New_Control_Baseline_center_mean_dpe,New_Control_Baseline_center_median_dpe,New_Control_Baseline_track_12h_dpe,New_Control_Baseline_track_24h_dpe,New_Control_Baseline_track_48h_dpe,New_Control_Baseline_track_agg_dpe,New_Control_Baseline_wind_mae,New_Control_Baseline_wind_bias,Arch_A_center_mean_dpe,Arch_A_center_median_dpe,Arch_A_track_12h_dpe,Arch_A_track_24h_dpe,Arch_A_track_48h_dpe,Arch_A_track_agg_dpe,Arch_A_wind_mae,Arch_A_wind_bias,Arch_B_center_mean_dpe,Arch_B_center_median_dpe,Arch_B_track_12h_dpe,Arch_B_track_24h_dpe,Arch_B_track_48h_dpe,Arch_B_track_agg_dpe,Arch_B_wind_mae,Arch_B_wind_bias,Arch_Center_center_mean_dpe,Arch_Center_center_median_dpe,Arch_Center_track_12h_dpe,Arch_Center_track_24h_dpe,Arch_Center_track_48h_dpe,Arch_Center_track_agg_dpe,Arch_Center_wind_mae,Arch_Center_wind_bias,Ablation_I2_center_mean_dpe,Ablation_I2_center_median_dpe,Ablation_I2_track_12h_dpe,Ablation_I2_track_24h_dpe,Ablation_I2_track_48h_dpe,Ablation_I2_track_agg_dpe,Ablation_I2_wind_mae,Ablation_I2_wind_bias,Arch_C_center_mean_dpe,Arch_C_center_median_dpe,Arch_C_track_12h_dpe,Arch_C_track_24h_dpe,Arch_C_track_48h_dpe,Arch_C_track_agg_dpe,Arch_C_wind_mae,Arch_C_wind_bias
NIO_2021_GULAB,9,1092.51,978.33,1143.95,876.03,812.93,944.31,6.73,-3.34,1052.57,763.61,1173.51,1135.35,1022.56,1110.48,8.06,-6.41,1076.2,851.62,804.14,783.95,754.84,780.98,8.47,-5.72,1392.45,1165.93,1268.61,1226.32,1079.07,1191.33,6.8,-0.86,846.87,694.9,1132.72,892.97,888.3,971.33,8.47,-5.72,1079.93,857.98,1039.12,934.32,899.38,957.61,6.54,-2.56,964.87,866.37,1229.17,947.59,770.72,982.49,4.24,2.73
NIO_2021_JAWAD,7,643.53,584.39,519.57,667.49,310.09,499.05,7.63,-6.83,622.95,621.15,661.56,457.75,194.14,437.81,9.27,-9.27,339.61,295.76,626.44,549.52,284.87,486.94,11.21,-11.21,644.43,688.33,659.06,607.13,333.29,533.16,8.07,-6.77,453.0,478.25,543.86,466.15,137.86,382.62,11.21,-11.21,346.47,289.96,528.35,462.44,153.92,381.57,8.38,-8.02,669.43,579.45,722.76,543.09,335.12,533.66,8.09,-7.77
NIO_2021_SHAHEEN,15,1498.8,1458.32,1402.21,1741.95,1679.49,1607.88,15.98,-15.09,1512.62,1569.96,1283.86,1432.98,1303.82,1340.22,18.57,-18.57,1489.17,1519.36,1881.83,1758.62,1942.25,1860.9,17.32,-17.32,1343.16,1223.71,1332.38,1325.66,1448.39,1368.81,14.6,-12.64,1716.94,1725.82,1500.53,1676.71,1552.68,1576.64,17.32,-17.32,1473.39,1507.06,1583.08,1630.6,1553.85,1589.18,15.61,-14.53,1026.82,1052.18,1031.29,1130.6,1135.52,1099.14,9.01,-0.88
NIO_2021_TAUKTAE,23,1186.77,1213.73,1247.85,1162.48,1330.79,1247.04,21.73,-13.99,1809.59,1821.71,1895.97,2013.23,2044.61,1984.6,22.34,-15.61,1709.29,1720.97,1661.17,1626.98,1882.11,1723.42,22.22,-16.39,1905.81,1918.42,2052.02,2205.17,2213.57,2156.92,22.26,-16.17,1756.3,1829.34,1900.48,1862.0,1881.57,1881.35,22.22,-16.39,1694.4,1706.96,1740.75,1728.31,1732.46,1733.84,22.25,-15.35,1520.88,1584.87,1619.44,1616.88,1735.89,1657.4,26.06,-24.56
NIO_2021_UNNAMED_2_5_1,2,171.23,171.23,174.2,288.07,104.88,189.05,0.44,-0.44,215.88,215.88,270.95,251.97,257.21,260.04,3.25,-3.25,123.19,123.19,444.08,502.87,616.01,520.98,4.59,-4.59,160.23,160.23,148.02,355.64,416.7,306.79,0.44,0.44,372.81,372.81,201.85,354.73,413.22,323.27,4.59,-4.59,118.28,118.28,137.47,487.79,347.1,324.12,0.6,-0.6,353.81,353.81,309.24,239.97,183.63,244.28,3.26,3.26
NIO_2021_YAAS,15,370.07,393.31,196.77,371.31,352.96,307.01,21.17,-21.05,271.52,286.37,388.48,218.82,270.36,292.55,23.1,-23.1,146.02,136.63,446.34,424.56,500.03,456.98,25.12,-25.12,375.37,403.26,369.91,414.27,256.64,346.94,21.26,-21.11,300.45,292.12,256.54,248.92,310.74,272.07,25.12,-25.12,129.1,124.43,203.27,315.75,231.34,250.12,22.15,-22.15,188.12,99.03,284.43,233.5,242.3,253.41,20.59,-19.24
NIO_2022_ASANI,19,627.69,597.94,467.8,678.3,325.08,490.4,21.48,-21.31,422.82,406.34,508.65,430.29,494.52,477.82,23.01,-23.0,260.03,220.49,462.51,378.85,575.93,472.43,25.1,-25.1,495.74,496.32,591.76,602.45,610.97,601.73,21.19,-20.93,318.74,328.84,378.7,399.4,348.66,375.59,25.1,-25.1,259.26,186.15,385.67,349.78,441.17,392.21,22.63,-22.56,563.32,458.12,481.52,484.65,439.69,468.62,19.53,-18.63
NIO_2022_MANDOUS,10,938.46,921.74,883.9,791.46,684.14,786.5,5.89,-4.2,731.96,713.43,902.6,708.95,764.67,792.07,7.44,-6.53,655.22,603.8,360.22,629.47,411.3,467.0,7.8,-7.22,606.86,549.81,746.89,793.45,774.1,771.48,4.86,-2.28,373.55,325.65,578.48,748.99,648.46,658.65,7.8,-7.22,669.77,619.15,626.83,738.57,594.16,653.19,6.27,-4.7,990.85,955.91,1167.95,1017.63,1285.9,1157.16,4.08,3.34
NIO_2022_NO,8,210.83,221.87,215.1,622.6,403.56,413.75,4.02,-3.79,418.78,447.71,511.18,520.24,652.12,561.18,6.29,-6.29,303.83,315.41,653.68,855.37,968.84,825.96,7.78,-7.78,279.89,280.99,405.35,634.68,702.2,580.75,3.9,-3.18,433.05,446.08,450.07,664.08,774.6,629.58,7.78,-7.78,279.28,289.06,431.75,764.09,703.51,633.12,4.55,-4.12,214.4,190.69,238.79,313.79,496.22,349.6,3.36,-2.44
NIO_2022_SITRANG,4,781.45,802.96,609.32,322.73,1054.49,662.18,3.06,1.13,444.74,482.73,598.53,480.31,1010.36,696.4,2.02,-1.67,762.94,849.78,319.25,534.62,959.39,604.42,2.86,-2.86,507.97,588.83,444.88,529.2,1018.79,664.29,4.33,3.14,643.49,725.42,318.77,458.45,1017.07,598.1,2.86,-2.86,760.29,844.73,317.03,521.16,957.49,598.56,3.03,0.87,918.68,967.42,980.75,996.42,1673.62,1216.93,4.92,4.25
