filename,size_bytes,sha256,source_dataset,variables,pressure_levels,spatial_extent,format
era5_1998.10.06.12.npz,74563,b523547d6452b415fd53829cc43ba8653b70905f4d705cadaa79d78bbc6e7320,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_1998.10.06.15.npz,74781,dafa4f8dd9794a5e2b03efdc0c2a771f1eefb421f53324444bca5ea86fd1b4d9,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_1998.10.06.18.npz,74808,88e3be1007d13a6aebb6c68cb8948b37e74991f8e51d13b18079184e95bbcc19,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_1998.10.06.21.npz,74786,54412a3dedcb5e3ced6a33e746850c858cb72ffc42d7c0969546cf14dbd5a56d,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_1998.10.07.00.npz,75222,0841224542307d9b761221f9b6d13d23eb43209d2be171b408107a710688ba22,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_1998.10.07.03.npz,74946,4c1dbec2be4d251b10962cd7df3658e2cbb4892a4d6728b2a269ae52e162a3b7,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_1999.01.31.12.npz,76553,14ffc1f7d953f97faa3ca540191d186cbf5795795114d29f9e86e3305667a37b,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_1999.01.31.15.npz,76582,5fd4e43adbff1fe1f49ffe1208ab3fbb55b2c9248c08a1e4dc1f1948de5ee766,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_1999.01.31.18.npz,76934,7a258d87d01d3d6672d652a2cf001663bd4162d281bb9fb83ab4d3e706c45621,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_1999.01.31.21.npz,76523,1a98db5232d0145c32dcf82f3ff226e0a72af54978990bbe5b65a66868c2f2db,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_1999.02.01.00.npz,76487,3fa48a48f7973a1907955c4f1c4325255cfd580636dd5dfd99ec704b5e36775a,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_1999.02.01.03.npz,76474,585ec3d6e14be4002df4d267691115d8c7c4ec1266c9a7c16b71bbb343dae7fe,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_2002.11.09.21.npz,75377,206f8337e7f525becebe480f67d0eb6ee90779f36f1f0a6b5d60ee8e113c6ead,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_2002.11.10.00.npz,76027,293071768876722714f92a81eb0e2477858843a66bc4edcf0b5f0b595bf6e407,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_2002.11.10.03.npz,75837,6f286d535ece89a4a00c51756896012e9a3c31eae40875ca1b49f6db949ced85,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
era5_2002.11.10.06.npz,76041,b03cc38258bff5dbf666b03aadbab89dffc9ad4af7e60e135c0cd046b8363fa9,ERA5 hourly data on pressure levels (ECMWF/Copernicus via Google Cloud ARCO-ERA5),"u_component_of_wind, v_component_of_wind","850, 700, 500, 300 hPa","-5 to 35 N, 40 to 105 E (41x66 grid)","NPZ (float32 array [8, 41, 66])"
