sample_id,storm_id,storm_name,split,t0_utc,gridsat_sequence_reference,imerg_sequence_reference,gridsat_frame_count,imerg_frame_count,spatial_shape,normalization_version,modality_status,target_status,leakage_check,dataset_status
NIO_1998_UNNAMED_31_19981007_0300Z,NIO_1998_UNNAMED_31,UNNAMED_31,TRAIN,1998-10-07T03:00:00Z,data/interim/gridsat/1998/gridsat_1998.10.06.12.npz|data/interim/gridsat/1998/gridsat_1998.10.06.15.npz|data/interim/gridsat/1998/gridsat_1998.10.06.18.npz|data/interim/gridsat/1998/gridsat_1998.10.06.21.npz|data/interim/gridsat/1998/gridsat_1998.10.07.00.npz|data/interim/gridsat/1998/gridsat_1998.10.07.03.npz,3B-HHR.MS.MRG.3IMERG.19981006-S120000-E122959.0720.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.19981006-S150000-E152959.0900.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.19981006-S180000-E182959.1080.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.19981006-S210000-E212959.1260.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.19981007-S000000-E002959.0000.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.19981007-S030000-E032959.0180.V07B.HDF5,6,6,"(72, 116)",v1_train_standardized,GRIDSAT_AND_IMERG_AVAILABLE,IMD_TARGETS_AVAILABLE,ZERO_FUTURE_LEAKAGE,READY
NIO_1999_UNNAMED_13_19990201_0300Z,NIO_1999_UNNAMED_13,UNNAMED_13,TRAIN,1999-02-01T03:00:00Z,data/interim/gridsat/1999/gridsat_1999.01.31.12.npz|data/interim/gridsat/1999/gridsat_1999.01.31.15.npz|data/interim/gridsat/1999/gridsat_1999.01.31.18.npz|data/interim/gridsat/1999/gridsat_1999.01.31.21.npz|data/interim/gridsat/1999/gridsat_1999.02.01.00.npz|data/interim/gridsat/1999/gridsat_1999.02.01.03.npz,3B-HHR.MS.MRG.3IMERG.19990131-S120000-E122959.0720.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.19990131-S150000-E152959.0900.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.19990131-S180000-E182959.1080.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.19990131-S210000-E212959.1260.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.19990201-S000000-E002959.0000.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.19990201-S030000-E032959.0180.V07B.HDF5,6,6,"(72, 116)",v1_train_standardized,GRIDSAT_AND_IMERG_AVAILABLE,IMD_TARGETS_AVAILABLE,ZERO_FUTURE_LEAKAGE,READY
NIO_2002_UNNAMED_25_20021110_1200Z,NIO_2002_UNNAMED_25,UNNAMED_25,TRAIN,2002-11-10T12:00:00Z,data/interim/gridsat/2002/gridsat_2002.11.09.21.npz|data/interim/gridsat/2002/gridsat_2002.11.10.00.npz|data/interim/gridsat/2002/gridsat_2002.11.10.03.npz|data/interim/gridsat/2002/gridsat_2002.11.10.06.npz|data/interim/gridsat/2002/gridsat_2002.11.10.09.npz|data/interim/gridsat/2002/gridsat_2002.11.10.12.npz,3B-HHR.MS.MRG.3IMERG.20021109-S210000-E212959.1260.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021110-S000000-E002959.0000.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021110-S030000-E032959.0180.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021110-S060000-E062959.0360.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021110-S090000-E092959.0540.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021110-S120000-E122959.0720.V07B.HDF5,6,6,"(72, 116)",v1_train_standardized,GRIDSAT_AND_IMERG_AVAILABLE,IMD_TARGETS_AVAILABLE,ZERO_FUTURE_LEAKAGE,READY
NIO_2002_UNNAMED_29_20021123_0600Z,NIO_2002_UNNAMED_29,UNNAMED_29,TRAIN,2002-11-23T06:00:00Z,data/interim/gridsat/2002/gridsat_2002.11.22.15.npz|data/interim/gridsat/2002/gridsat_2002.11.22.18.npz|data/interim/gridsat/2002/gridsat_2002.11.22.21.npz|data/interim/gridsat/2002/gridsat_2002.11.23.00.npz|data/interim/gridsat/2002/gridsat_2002.11.23.03.npz|data/interim/gridsat/2002/gridsat_2002.11.23.06.npz,3B-HHR.MS.MRG.3IMERG.20021122-S150000-E152959.0900.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021122-S180000-E182959.1080.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021122-S210000-E212959.1260.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021123-S000000-E002959.0000.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021123-S030000-E032959.0180.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021123-S060000-E062959.0360.V07B.HDF5,6,6,"(72, 116)",v1_train_standardized,GRIDSAT_AND_IMERG_AVAILABLE,IMD_TARGETS_AVAILABLE,ZERO_FUTURE_LEAKAGE,READY
NIO_2002_UNNAMED_29_20021123_1200Z,NIO_2002_UNNAMED_29,UNNAMED_29,TRAIN,2002-11-23T12:00:00Z,data/interim/gridsat/2002/gridsat_2002.11.22.21.npz|data/interim/gridsat/2002/gridsat_2002.11.23.00.npz|data/interim/gridsat/2002/gridsat_2002.11.23.03.npz|data/interim/gridsat/2002/gridsat_2002.11.23.06.npz|data/interim/gridsat/2002/gridsat_2002.11.23.09.npz|data/interim/gridsat/2002/gridsat_2002.11.23.12.npz,3B-HHR.MS.MRG.3IMERG.20021122-S210000-E212959.1260.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021123-S000000-E002959.0000.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021123-S030000-E032959.0180.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021123-S060000-E062959.0360.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021123-S090000-E092959.0540.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021123-S120000-E122959.0720.V07B.HDF5,6,6,"(72, 116)",v1_train_standardized,GRIDSAT_AND_IMERG_AVAILABLE,IMD_TARGETS_AVAILABLE,ZERO_FUTURE_LEAKAGE,READY
NIO_2002_UNNAMED_29_20021124_0000Z,NIO_2002_UNNAMED_29,UNNAMED_29,TRAIN,2002-11-24T00:00:00Z,data/interim/gridsat/2002/gridsat_2002.11.23.09.npz|data/interim/gridsat/2002/gridsat_2002.11.23.12.npz|data/interim/gridsat/2002/gridsat_2002.11.23.15.npz|data/interim/gridsat/2002/gridsat_2002.11.23.18.npz|data/interim/gridsat/2002/gridsat_2002.11.23.21.npz|data/interim/gridsat/2002/gridsat_2002.11.24.00.npz,3B-HHR.MS.MRG.3IMERG.20021123-S090000-E092959.0540.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021123-S120000-E122959.0720.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021123-S150000-E152959.0900.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021123-S180000-E182959.1080.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021123-S210000-E212959.1260.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021124-S000000-E002959.0000.V07B.HDF5,6,6,"(72, 116)",v1_train_standardized,GRIDSAT_AND_IMERG_AVAILABLE,IMD_TARGETS_AVAILABLE,ZERO_FUTURE_LEAKAGE,READY
NIO_2002_UNNAMED_29_20021124_1200Z,NIO_2002_UNNAMED_29,UNNAMED_29,TRAIN,2002-11-24T12:00:00Z,data/interim/gridsat/2002/gridsat_2002.11.23.21.npz|data/interim/gridsat/2002/gridsat_2002.11.24.00.npz|data/interim/gridsat/2002/gridsat_2002.11.24.03.npz|data/interim/gridsat/2002/gridsat_2002.11.24.06.npz|data/interim/gridsat/2002/gridsat_2002.11.24.09.npz|data/interim/gridsat/2002/gridsat_2002.11.24.12.npz,3B-HHR.MS.MRG.3IMERG.20021123-S210000-E212959.1260.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021124-S000000-E002959.0000.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021124-S030000-E032959.0180.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021124-S060000-E062959.0360.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021124-S090000-E092959.0540.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20021124-S120000-E122959.0720.V07B.HDF5,6,6,"(72, 116)",v1_train_standardized,GRIDSAT_AND_IMERG_AVAILABLE,IMD_TARGETS_AVAILABLE,ZERO_FUTURE_LEAKAGE,READY
NIO_2005_IN_20050115_0300Z,NIO_2005_IN,IN,TRAIN,2005-01-15T03:00:00Z,data/interim/gridsat/2005/gridsat_2005.01.14.12.npz|data/interim/gridsat/2005/gridsat_2005.01.14.15.npz|data/interim/gridsat/2005/gridsat_2005.01.14.18.npz|data/interim/gridsat/2005/gridsat_2005.01.14.21.npz|data/interim/gridsat/2005/gridsat_2005.01.15.00.npz|data/interim/gridsat/2005/gridsat_2005.01.15.03.npz,3B-HHR.MS.MRG.3IMERG.20050114-S120000-E122959.0720.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20050114-S150000-E152959.0900.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20050114-S180000-E182959.1080.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20050114-S210000-E212959.1260.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20050115-S000000-E002959.0000.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20050115-S030000-E032959.0180.V07B.HDF5,6,6,"(72, 116)",v1_train_standardized,GRIDSAT_AND_IMERG_AVAILABLE,IMD_TARGETS_AVAILABLE,ZERO_FUTURE_LEAKAGE,READY
NIO_2005_UNNAMED_2_10_20051128_0300Z,NIO_2005_UNNAMED_2_10,UNNAMED_2_10,TRAIN,2005-11-28T03:00:00Z,data/interim/gridsat/2005/gridsat_2005.11.27.12.npz|data/interim/gridsat/2005/gridsat_2005.11.27.15.npz|data/interim/gridsat/2005/gridsat_2005.11.27.18.npz|data/interim/gridsat/2005/gridsat_2005.11.27.21.npz|data/interim/gridsat/2005/gridsat_2005.11.28.00.npz|data/interim/gridsat/2005/gridsat_2005.11.28.03.npz,3B-HHR.MS.MRG.3IMERG.20051127-S120000-E122959.0720.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20051127-S150000-E152959.0900.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20051127-S180000-E182959.1080.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20051127-S210000-E212959.1260.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20051128-S000000-E002959.0000.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20051128-S030000-E032959.0180.V07B.HDF5,6,6,"(72, 116)",v1_train_standardized,GRIDSAT_AND_IMERG_AVAILABLE,IMD_TARGETS_AVAILABLE,ZERO_FUTURE_LEAKAGE,READY
NIO_2005_UNNAMED_2_10_20051128_0600Z,NIO_2005_UNNAMED_2_10,UNNAMED_2_10,TRAIN,2005-11-28T06:00:00Z,data/interim/gridsat/2005/gridsat_2005.11.27.15.npz|data/interim/gridsat/2005/gridsat_2005.11.27.18.npz|data/interim/gridsat/2005/gridsat_2005.11.27.21.npz|data/interim/gridsat/2005/gridsat_2005.11.28.00.npz|data/interim/gridsat/2005/gridsat_2005.11.28.03.npz|data/interim/gridsat/2005/gridsat_2005.11.28.06.npz,3B-HHR.MS.MRG.3IMERG.20051127-S150000-E152959.0900.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20051127-S180000-E182959.1080.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20051127-S210000-E212959.1260.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20051128-S000000-E002959.0000.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20051128-S030000-E032959.0180.V07B.HDF5|3B-HHR.MS.MRG.3IMERG.20051128-S060000-E062959.0360.V07B.HDF5,6,6,"(72, 116)",v1_train_standardized,GRIDSAT_AND_IMERG_AVAILABLE,IMD_TARGETS_AVAILABLE,ZERO_FUTURE_LEAKAGE,READY
