year,storm_id,source_file,source_page,source_table,source_row,raw_text,problem_type,problem_description,recommended_action,resolved
2005,,27_684961_rsmc-2005 .pdf,11,,,"header=['1.', 'Cyclonic Storm ""HIBARU"" over the Bay of Bengal, January 13-17', None]",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2005,,27_684961_rsmc-2005 .pdf,14,,,header=['Cyclonic storm “'],UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2005,,27_684961_rsmc-2005 .pdf,14,,,header=['Cyclonic storm'],UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2005,,27_684961_rsmc-2005 .pdf,15,,,"header=['S.No', 'Type', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov', 'Dec', 'Life\nTime in\n(Days)']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2005,,27_684961_rsmc-2005 .pdf,15,,,"header=['CI No.', '\uf0b31.5', '\uf0b32.0', '\uf0b32.5', '\uf0b33.0', '\uf0b34.0', '\uf0b35.0', '\uf0b36.0', '\uf0b37.0']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2005,NIO_2005_IN,27_684961_rsmc-2005 .pdf,18,Table 2.1.1,5.0,date=15-01-2005 time=0600 lat=5.5 lon=87/0 wind=35 pres=1000 cat=CS,MISSING_COORDINATES,LONGITUDE: Non-numeric coordinate: '87/0',HUMAN_REVIEW,False
2005,NIO_2005_IN,27_684961_rsmc-2005 .pdf,18,Table 2.1.1,6.0,date=15-01-2005 time=0900 lat=5.5 lon=87/0 wind=35 pres=1000 cat=CS,MISSING_COORDINATES,LONGITUDE: Non-numeric coordinate: '87/0',HUMAN_REVIEW,False
2005,NIO_2005_IN,27_684961_rsmc-2005 .pdf,18,Table 2.1.1,7.0,date=15-01-2005 time=1200 lat=5.5 lon=87/0 wind=35 pres=1000 cat=CS,MISSING_COORDINATES,LONGITUDE: Non-numeric coordinate: '87/0',HUMAN_REVIEW,False
2005,NIO_2005_IN,27_684961_rsmc-2005 .pdf,18,Table 2.1.1,19.0,date=17-01-2005 time=0000 lat=5.5 lon=86/0 wind=30 pres=1004 cat=DD,MISSING_COORDINATES,LONGITUDE: Non-numeric coordinate: '86/0',HUMAN_REVIEW,False
2005,NIO_2005_UNNAMED_2_7_1,27_684961_rsmc-2005 .pdf,38,Table 2.7.1,11.0,"date=19.09.2005 time=0300 lat=18.5 lon=84.0
OVER LAND wind=35 pres=988 cat=CS",MISSING_COORDINATES,"LONGITUDE: Non-numeric coordinate: '84.0
OVER LAND'",HUMAN_REVIEW,False
