storm_id,year,timestamp_utc,source_file,source_page,source_table,source_row,reason,raw_date,raw_time,latitude,longitude
NIO_1998_UNNAMED_10,1998,1998-05-18T00:00:00+00:00,27_01a386_35_872370_1998.pdf,10,OCR_PAGE_10,9.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,18.5.98,0000,15.0,88.5
NIO_1998_UNNAMED_10,1998,1998-05-18T00:00:00+00:00,27_01a386_35_872370_1998.pdf,10,OCR_PAGE_10,20.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,18.5.98,0000,21.5,91.5
NIO_1998_UNNAMED_16,1998,1998-06-05T06:00:00+00:00,27_01a386_35_872370_1998.pdf,16,OCR_PAGE_16,12.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,5.6.98,0600,11.5,70.5
NIO_1998_UNNAMED_16,1998,1998-06-05T06:00:00+00:00,27_01a386_35_872370_1998.pdf,16,OCR_PAGE_16,18.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,5.6.98,0600,12.5,69.0
NIO_1998_UNNAMED_16,1998,1998-06-05T18:00:00+00:00,27_01a386_35_872370_1998.pdf,16,OCR_PAGE_16,15.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,5.6.98,1800,12.0,69.5
NIO_1998_UNNAMED_16,1998,1998-06-05T18:00:00+00:00,27_01a386_35_872370_1998.pdf,16,OCR_PAGE_16,20.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,5.6.98,1800,13.5,68.5
NIO_1998_UNNAMED_16,1998,1998-06-07T15:00:00+00:00,27_01a386_35_872370_1998.pdf,16,OCR_PAGE_16,21.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,7.6.98,15,7.6,14.0
NIO_1998_UNNAMED_16,1998,1998-06-07T15:00:00+00:00,27_01a386_35_872370_1998.pdf,16,OCR_PAGE_16,23.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,7.6.98,15,15.0,68.0
NIO_1999_UNNAMED_40,1999,1999-02-03T12:00:00+00:00,27_510109_35_66a331_1999.pdf,40,OCR_PAGE_40,8.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,3.2.99,12,21.0,88.5
NIO_1999_UNNAMED_40,1999,1999-02-03T12:00:00+00:00,27_510109_35_66a331_1999.pdf,40,OCR_PAGE_40,12.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,3.2.99,12,22.5,86.0
NIO_2000_UNNAMED_49,2000,2000-12-27T03:00:00+00:00,27_5af63e_35_0c0afa_2000.pdf,49,OCR_PAGE_49,11.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,27.12.2000,03,8.5,80.0
NIO_2000_UNNAMED_49,2000,2000-12-27T03:00:00+00:00,27_5af63e_35_0c0afa_2000.pdf,49,OCR_PAGE_49,21.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,27.12.2000,03,8.5,77.5
NIO_2001_UNNAMED_34,2001,2001-09-26T15:00:00+00:00,27_fa9a04_35_168f8a_2001.pdf,34,OCR_PAGE_34,22.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,26.9.2001,1500,,
NIO_2001_UNNAMED_34,2001,2001-09-26T15:00:00+00:00,27_fa9a04_35_168f8a_2001.pdf,34,OCR_PAGE_34,30.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,26.9.2001,15,78.5,62.5
NIO_2001_UNNAMED_34,2001,2001-09-26T21:00:00+00:00,27_fa9a04_35_168f8a_2001.pdf,34,OCR_PAGE_34,24.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,26.9.2001,2100,,
NIO_2001_UNNAMED_34,2001,2001-09-26T21:00:00+00:00,27_fa9a04_35_168f8a_2001.pdf,34,OCR_PAGE_34,17.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,26.9.2001,2100,17.0,69.0
NIO_2004_UNNAMED_44,2004,2004-10-03T15:00:00+00:00,27_be26e0_35_2bd72b_2004.pdf,44,OCR_PAGE_44,21.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,03-10-2004,1500,,
NIO_2004_UNNAMED_44,2004,2004-10-03T15:00:00+00:00,27_be26e0_35_2bd72b_2004.pdf,44,OCR_PAGE_44,17.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,03-10-2004,15,13.5,85.0
NIO_2004_UNNAMED_44,2004,2004-10-03T15:00:00+00:00,27_be26e0_35_2bd72b_2004.pdf,44,OCR_PAGE_44,24.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,03-10-2004,15,17.5,82.5
NIO_2022_UNNAMED_01,2022,2022-03-22T00:00:00+00:00,27_501da8_RSMC full report 2022 13 Jan.pdf,64,,11.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,"22.03.
2022
23.03.
2022",0000,14.9,94.2
NIO_2022_UNNAMED_01,2022,2022-03-22T00:00:00+00:00,27_501da8_RSMC full report 2022 13 Jan.pdf,64,,19.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,,0000,19.0,94.6
NIO_2003_01B,2003,2003-05-11T20:00:00+00:00,27_becfa7_35_7946c7_2003.pdf,17,Table 2.1.1,4.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,2003-05-11,2000,15.0,55.0
NIO_2003_01B,2003,2003-05-11T20:00:00+00:00,27_becfa7_35_7946c7_2003.pdf,17,Table 2.1.1,5.0,UNRESOLVED_DUPLICATE_TIMESTAMP_CONFLICT,2003-05-11,2000,5.0,85.5
NIO_1998_UNNAMED_10,1998,,27_01a386_35_872370_1998.pdf,10,OCR_PAGE_10,15.0,MISSING_TIMESTAMP,18.5.98,,19.0,90.0
NIO_1998_UNNAMED_16,1998,,27_01a386_35_872370_1998.pdf,16,OCR_PAGE_16,26.0,MISSING_TIMESTAMP,7.6.98,,16.5,68.0
NIO_1998_UNNAMED_16,1998,,27_01a386_35_872370_1998.pdf,16,OCR_PAGE_16,27.0,MISSING_TIMESTAMP,8.6.98,,8.6,64.0
NIO_1998_UNNAMED_16,1998,,27_01a386_35_872370_1998.pdf,16,OCR_PAGE_16,29.0,MISSING_TIMESTAMP,18.5/68,,18.5,5.0
NIO_1998_UNNAMED_16,1998,,27_01a386_35_872370_1998.pdf,16,OCR_PAGE_16,30.0,MISSING_TIMESTAMP,18.5/68,1200,19.5,68.0
NIO_1998_UNNAMED_26,1998,,27_01a386_35_872370_1998.pdf,26,OCR_PAGE_26,11.0,MISSING_TIMESTAMP,14.6.98,,17.5,85.0
NIO_1998_UNNAMED_31,1998,,27_01a386_35_872370_1998.pdf,31,OCR_PAGE_31,13.0,MISSING_TIMESTAMP,7.10.98,4200,14.0,68.0
NIO_1998_UNNAMED_46,1998,1998-10-26T09:00:00+00:00,27_01a386_35_872370_1998.pdf,46,OCR_PAGE_46,7.0,INVALID_OR_MISSING_COORDINATES,26.10.98,0900,,
NIO_1998_UNNAMED_46,1998,1998-10-26T12:00:00+00:00,27_01a386_35_872370_1998.pdf,46,OCR_PAGE_46,8.0,INVALID_OR_MISSING_COORDINATES,26.10.98,1200,,
NIO_1998_UNNAMED_46,1998,1998-10-26T18:00:00+00:00,27_01a386_35_872370_1998.pdf,46,OCR_PAGE_46,9.0,INVALID_OR_MISSING_COORDINATES,26.10.98,1800,,
NIO_1998_UNNAMED_46,1998,1998-10-27T00:00:00+00:00,27_01a386_35_872370_1998.pdf,46,OCR_PAGE_46,10.0,INVALID_OR_MISSING_COORDINATES,27.10.98,0000,,
NIO_1998_UNNAMED_46,1998,1998-10-27T03:00:00+00:00,27_01a386_35_872370_1998.pdf,46,OCR_PAGE_46,11.0,INVALID_OR_MISSING_COORDINATES,27.10.98,0300,,
NIO_1998_UNNAMED_46,1998,1998-10-27T06:00:00+00:00,27_01a386_35_872370_1998.pdf,46,OCR_PAGE_46,12.0,INVALID_OR_MISSING_COORDINATES,27.10.98,0600,,
NIO_1998_UNNAMED_46,1998,1998-10-27T12:00:00+00:00,27_01a386_35_872370_1998.pdf,46,OCR_PAGE_46,13.0,INVALID_OR_MISSING_COORDINATES,27.10.98,1200,,
