filename,file_size_bytes,sha256,actual_report_year,report_title,page_count,source_type,contains_best_track_tables,has_datetime,has_utc,has_latitude,has_longitude,has_wind,has_pressure,has_category,best_track_page_ranges,contains_multiple_storms,appears_complete,duplicate_group,recommended_role,recommended_canonical,notes
27_db9543_35_7625bf_1997.pdf,6627556,7279d8b54fa55109837e0c47ea518cd730a8517f7e70c3d1ced52bd370035cce,1997,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1997,95,ANNUAL_RSMC_REPORT_SCANNED,FALSE,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,None (narrative text and track diagrams only),TRUE,TRUE,NONE,HISTORICAL_SUPPLEMENT,TRUE,"Scanned report. Pre-dates core satellite ML period (1998-2024). Contains narrative descriptions, track maps, and radar fixes, but lacks standardized numerical Best Track observation tables."
27_01a386_35_872370_1998.pdf,3637965,4a2aa494433ff4be16e4302a059b74d7c22d164901f54beb15eb039025ee8770,1998,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,75,ANNUAL_RSMC_REPORT_SCANNED,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"10, 16, 26, 31, 37, 43, 46, 52, 57, 61, 65, 68",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,"Scanned report. Contains standardized Chapter 2 Best Track tables (Tables 2.1.1, 2.2.1, 2.3.1, etc.) with Date, UTC, Lat, Long, ECP, MSW, and Grade. Requires OCR/table extraction normalization."
27_510109_35_66a331_1999.pdf,4736044,91b0dcec2d68dacdef11c36cf570dbb2d5d15015dcd603af88e1a53c27190735,1999,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1999,74,ANNUAL_RSMC_REPORT_SCANNED,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"13, 20, 29, 37, 40, 48, 54, 61, 67",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,"Scanned report. Includes the 1999 Odisha Super Cyclone. Contains standardized Best Track tables (Tables 2.1.1, etc.) with all required fields. Requires OCR/table extraction normalization."
27_5af63e_35_0c0afa_2000.pdf,3947945,d875d3bd1e9d3b54f908b627c644a6d0889544b08120f922fcc5dac34fb1220d,2000,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2000,59,ANNUAL_RSMC_REPORT_SCANNED,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"15, 19, 28, 33, 41, 49",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,"Scanned report. Contains Chapter 2 Best Track tables (Tables 2.1.1, 2.2.1, etc.) with Date, UTC, Lat, Long, ECP, MSW, and Grade. Requires OCR/table extraction normalization."
27_fa9a04_35_168f8a_2001.pdf,3572635,5e56d4b97ae73c117cc7c4b2208d44fb1a649e2c12da7f3a34a16401fce4754c,2001,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2001,54,ANNUAL_RSMC_REPORT_SCANNED,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"18, 28, 34, 40, 45",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,"Scanned report. Contains Chapter 2 Best Track tables (Tables 2.1.1, 2.2.1, 2.3.1, etc.) with Date, UTC, Lat, Long, ECP, MSW, and Grade. Requires OCR/table extraction normalization."
27_54cee6_35_6641c5_2002.pdf,2629013,a0e6c794548a49d81693ec71b65796fa4c403aa2f9483f6e56707378213df733,2002,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2002,37,ANNUAL_RSMC_REPORT_SCANNED,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"18, 25, 29-30, 33",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,"Scanned report. Contains Chapter 2 Best Track tables (Tables 2.4.1, 2.5.1, 2.6.1, etc.) with Date, UTC, Lat, Long, ECP, MSW, and Grade. Requires OCR/table extraction normalization."
27_becfa7_35_7946c7_2003.pdf,2874949,ca5d3a373a1abdb9a7c9dde902f4990b2617b35a2978ac215773665e4e26e5bb,2003,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2003,49,ANNUAL_RSMC_REPORT_SCANNED,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"14, 21, 28, 36, 42, 45",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,"Scanned report. Contains Chapter 2 Best Track tables (Tables 2.1.1, 2.6.1, etc.) with Date, UTC, Lat, Long, ECP, MSW, and Grade. Requires OCR/table extraction normalization."
27_be26e0_35_2bd72b_2004.pdf,4016781,8e114c0443afa98591765b4a42abe1d81919fc3214215374e5e350890e62aae4,2004,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2004,61,ANNUAL_RSMC_REPORT_SCANNED,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"16, 23, 29, 38, 44, 52, 59",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,"Scanned report. Contains Chapter 2 Best Track tables (Tables 2.1, etc.) with Date, UTC, Lat, Long, ECP, MSW, and Grade. Requires OCR/table extraction normalization."
27_684961_rsmc-2005 .pdf,2262382,37a073fec1d53d779e90294792fe24e09c1da8fcf0b7e62231b1e6b5341a4c99,2005,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2005,66,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"6, 13-14, 17-18, 21, 23-24, 27-28, 31, 33, 35, 37-38, 42-43, 46-47, 49-50, 54-55, 59-60",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2005 cyclonic disturbances.
27_b1dd60_rsmc-2006 .pdf,3238066,3c07a50dc5d97f6726196ece7b12a3abc7dad35705c7e7232d6d6c7deef05e5c,2006,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2006,89,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"14, 18-19, 22-23, 27, 29, 34, 36, 40-41, 45-46, 50, 52, 57-58, 62, 64, 68-69, 73-74, 78-79",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2006 cyclonic disturbances.
