filename,canonical_filename,is_canonical,is_redundant_duplicate,file_size_bytes,sha256,status,notes
20190429-S120000-E122959.0720.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20190429-S120000-E122959.0720.V07B.HDF5,False,True,8213594,49ebb825dd1b8790ed8332eda2144d97a9fb9e96768ba641a51fd23cd1b26d47,REDUNDANT_PILOT_ALIAS,Byte-identical duplicate of 3B-HHR.MS.MRG.3IMERG.20190429-S120000-E122959.0720.V07B.HDF5; preserved for backward compatibility with pilot tests
20200517-S060000-E062959.0360.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20200517-S060000-E062959.0360.V07B.HDF5,False,True,8098612,50fee96caab48362110593824e1b406955fc0f2ffe1e3236510a2326835beacf,REDUNDANT_PILOT_ALIAS,Byte-identical duplicate of 3B-HHR.MS.MRG.3IMERG.20200517-S060000-E062959.0360.V07B.HDF5; preserved for backward compatibility with pilot tests
20240525-S060000-E062959.0360.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20240525-S060000-E062959.0360.V07B.HDF5,False,True,8068764,a9a70cef7ace8922dc175e4656b70807d9311b4711f9b5809cd6a35a9604d0e6,REDUNDANT_PILOT_ALIAS,Byte-identical duplicate of 3B-HHR.MS.MRG.3IMERG.20240525-S060000-E062959.0360.V07B.HDF5; preserved for backward compatibility with pilot tests
3B-HHR.MS.MRG.3IMERG.19981006-S120000-E122959.0720.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.19981006-S120000-E122959.0720.V07B.HDF5,True,False,7216301,27923e93842f18ab72b6e8d547cdaf5afbec1018d3eb4727ba6cde6027ae8e74,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.19981006-S150000-E152959.0900.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.19981006-S150000-E152959.0900.V07B.HDF5,True,False,7282443,166cc9bdc6863771b2aca03d32c5e0f78c03d821a003bc27d949d48c23ef153d,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.19981006-S180000-E182959.1080.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.19981006-S180000-E182959.1080.V07B.HDF5,True,False,7260302,fb153723a7b73af59466d8528f895a2c6196fd5a5ccc6ff42754332f4ca68c4c,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.19981006-S210000-E212959.1260.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.19981006-S210000-E212959.1260.V07B.HDF5,True,False,7642132,b53b509f6dae8e1570b60c349081b3643bd9b93a55b7cdf1cb37d32a38c5aadf,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.19981007-S000000-E002959.0000.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.19981007-S000000-E002959.0000.V07B.HDF5,True,False,7494774,dfb2944495de786ae66e0b0943dbd86a8082c9a3bc5aae6da4e119aba37fe85c,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.19981007-S030000-E032959.0180.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.19981007-S030000-E032959.0180.V07B.HDF5,True,False,7314102,491544651a5b88667dc8cd8f7e7fa0284be0ecc4031de0c6f91aa25384317211,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.19990131-S120000-E122959.0720.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.19990131-S120000-E122959.0720.V07B.HDF5,True,False,7476348,54ad41352b6cc60734a391930f53fc26e4dd5aff69185bc00cd73bc0d5da7c44,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
