satellite,sensor,dataset_id,processing_level,product_name,channels,spatial_res_km,temporal_cadence_min,format,projection,coverage_period,avg_file_size_mb,doi,mosdac_status
INSAT-3D,IMAGER,3DIMG_L1B_STD,L1B,Standard Full Disk Level-1B,"6 (VIS, SWIR, MIR, WV, TIR1, TIR2)","1km (VIS/SWIR), 4km (MIR/TIR1/TIR2), 8km (WV)",30,HDF5,Geostationary Fixed Grid (82.0E),2014-01-01 to 2024-05-31,420.0,10.19038/SAC/10/3DIMG_L1B_STD,VERIFIED
INSAT-3D,IMAGER,3DIMG_L1C_ASIA_MER,L1C,Asian Sector Mercator Level-1C,"6 (VIS, SWIR, MIR, WV, TIR1, TIR2)","Resampled Mercator (approx 4km TIR, 1km VIS)",30,HDF5,"Mercator (40E-120E, 10S-45N)",2014-01-01 to 2024-05-31,21.0,10.19038/SAC/10/3DIMG_L1C_ASIA_MER,VERIFIED
INSAT-3D,IMAGER,3DIMG_L1C_SGP,L1C,Sector Geographic Parameter Level-1C,"6 (VIS, SWIR, MIR, WV, TIR1, TIR2)",Mercator Gridded,30,HDF5,Mercator,2014-01-01 to 2024-05-31,78.0,10.19038/SAC/10/3DIMG_L1C_SGP,VERIFIED
INSAT-3DR,IMAGER,3RIMG_L1B_STD,L1B,Standard Full Disk Level-1B,"6 (VIS, SWIR, MIR, WV, TIR1, TIR2)","1km (VIS/SWIR), 4km (MIR/TIR1/TIR2), 8km (WV)",30,HDF5,Geostationary Fixed Grid (74.0E),2016-10-01 to PRESENT,415.0,10.19038/SAC/10/3RIMG_L1B_STD,VERIFIED
INSAT-3DR,IMAGER,3RIMG_L1C_ASIA_MER,L1C,Asian Sector Mercator Level-1C,"6 (VIS, SWIR, MIR, WV, TIR1, TIR2)","Resampled Mercator (approx 4km TIR, 1km VIS)",30,HDF5,"Mercator (40E-120E, 10S-45N)",2016-10-01 to PRESENT,15.0,10.19038/SAC/10/3RIMG_L1C_ASIA_MER,VERIFIED
INSAT-3DR,IMAGER,3RIMG_L1C_SGP,L1C,Sector Geographic Parameter Level-1C,"6 (VIS, SWIR, MIR, WV, TIR1, TIR2)",Mercator Gridded,30,HDF5,Mercator,2016-10-01 to PRESENT,37.0,10.19038/SAC/10/3RIMG_L1C_SGP,VERIFIED
INSAT-3DS,IMAGER,3SIMG_L1B_STD,L1B,Standard Full Disk Level-1B,"6 (VIS, SWIR, MIR, WV, TIR1, TIR2)","1km (VIS/SWIR), 4km (MIR/TIR1/TIR2), 8km (WV)",30,HDF5,Geostationary Fixed Grid (82.0E),2024-04-01 to PRESENT,410.0,10.19038/SAC/10/3SIMG_L1B_STD,VERIFIED
INSAT-3DS,IMAGER,3SIMG_L1C_ASIA_MER,L1C,Asian Sector Mercator Level-1C,"6 (VIS, SWIR, MIR, WV, TIR1, TIR2)","Resampled Mercator (approx 4km TIR, 1km VIS)",30,HDF5,"Mercator (40E-120E, 10S-45N)",2024-04-01 to PRESENT,24.0,10.19038/SAC/10/3SIMG_L1C_ASIA_MER,VERIFIED
INSAT-3DS,IMAGER,3SIMG_L1C_SGP,L1C,Sector Geographic Parameter Level-1C,"6 (VIS, SWIR, MIR, WV, TIR1, TIR2)",Mercator Gridded,30,HDF5,Mercator,2024-04-01 to PRESENT,85.0,10.19038/SAC/10/3SIMG_L1C_SGP,VERIFIED
Kalpana-1,VHRR,K1VHR_L1B_STD,L1B,VHRR Standard Full Disk Level-1B,"3 (VIS, WV, TIR)","2km (VIS), 8km (WV), 8km (TIR)",30,HDF5,Geostationary Fixed Grid (74.0E),2002-09-12 to 2017-06-30,28.0,10.19038/SAC/10/K1VHR_L1B_STD,VERIFIED_HISTORICAL_DECOMMISSIONED
