frame_id,timestamp_utc,year,month,day,hour,split,source_file,file_size_bytes,spatial_height,spatial_width,channels
INSAT3D_20140609_2100Z,2014-06-09T21:00:00Z,2014,6,9,21,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.09.21.npz,583287,72,116,"TIR1,TIR2,WV"
INSAT3D_20140610_0000Z,2014-06-10T00:00:00Z,2014,6,10,0,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.10.00.npz,574629,72,116,"TIR1,TIR2,WV"
INSAT3D_20140610_0300Z,2014-06-10T03:00:00Z,2014,6,10,3,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.10.03.npz,573899,72,116,"TIR1,TIR2,WV"
INSAT3D_20140610_0600Z,2014-06-10T06:00:00Z,2014,6,10,6,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.10.06.npz,603753,72,116,"TIR1,TIR2,WV"
INSAT3D_20140610_0900Z,2014-06-10T09:00:00Z,2014,6,10,9,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.10.09.npz,623655,72,116,"TIR1,TIR2,WV"
INSAT3D_20140610_1200Z,2014-06-10T12:00:00Z,2014,6,10,12,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.10.12.npz,615634,72,116,"TIR1,TIR2,WV"
INSAT3D_20140610_1500Z,2014-06-10T15:00:00Z,2014,6,10,15,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.10.15.npz,584643,72,116,"TIR1,TIR2,WV"
INSAT3D_20140610_1800Z,2014-06-10T18:00:00Z,2014,6,10,18,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.10.18.npz,573838,72,116,"TIR1,TIR2,WV"
INSAT3D_20140610_2100Z,2014-06-10T21:00:00Z,2014,6,10,21,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.10.21.npz,572213,72,116,"TIR1,TIR2,WV"
INSAT3D_20140611_0000Z,2014-06-11T00:00:00Z,2014,6,11,0,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.11.00.npz,565578,72,116,"TIR1,TIR2,WV"
INSAT3D_20140611_0300Z,2014-06-11T03:00:00Z,2014,6,11,3,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.11.03.npz,564955,72,116,"TIR1,TIR2,WV"
INSAT3D_20140611_0600Z,2014-06-11T06:00:00Z,2014,6,11,6,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.11.06.npz,597234,72,116,"TIR1,TIR2,WV"
INSAT3D_20140611_0900Z,2014-06-11T09:00:00Z,2014,6,11,9,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.11.09.npz,623972,72,116,"TIR1,TIR2,WV"
INSAT3D_20140611_1200Z,2014-06-11T12:00:00Z,2014,6,11,12,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.11.12.npz,610089,72,116,"TIR1,TIR2,WV"
INSAT3D_20140611_1500Z,2014-06-11T15:00:00Z,2014,6,11,15,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.11.15.npz,576397,72,116,"TIR1,TIR2,WV"
INSAT3D_20140611_1800Z,2014-06-11T18:00:00Z,2014,6,11,18,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.11.18.npz,567306,72,116,"TIR1,TIR2,WV"
INSAT3D_20140611_2100Z,2014-06-11T21:00:00Z,2014,6,11,21,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.11.21.npz,570283,72,116,"TIR1,TIR2,WV"
INSAT3D_20140612_0000Z,2014-06-12T00:00:00Z,2014,6,12,0,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.06.12.00.npz,563401,72,116,"TIR1,TIR2,WV"
INSAT3D_20140802_2100Z,2014-08-02T21:00:00Z,2014,8,2,21,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.08.02.21.npz,570001,72,116,"TIR1,TIR2,WV"
INSAT3D_20140803_0000Z,2014-08-03T00:00:00Z,2014,8,3,0,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.08.03.00.npz,562070,72,116,"TIR1,TIR2,WV"
INSAT3D_20140803_0300Z,2014-08-03T03:00:00Z,2014,8,3,3,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.08.03.03.npz,560514,72,116,"TIR1,TIR2,WV"
INSAT3D_20140803_0600Z,2014-08-03T06:00:00Z,2014,8,3,6,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.08.03.06.npz,586672,72,116,"TIR1,TIR2,WV"
INSAT3D_20140803_0900Z,2014-08-03T09:00:00Z,2014,8,3,9,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.08.03.09.npz,611881,72,116,"TIR1,TIR2,WV"
INSAT3D_20140803_1200Z,2014-08-03T12:00:00Z,2014,8,3,12,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.08.03.12.npz,602506,72,116,"TIR1,TIR2,WV"
INSAT3D_20140803_1500Z,2014-08-03T15:00:00Z,2014,8,3,15,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.08.03.15.npz,576221,72,116,"TIR1,TIR2,WV"
INSAT3D_20140803_1800Z,2014-08-03T18:00:00Z,2014,8,3,18,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.08.03.18.npz,566601,72,116,"TIR1,TIR2,WV"
INSAT3D_20140803_2100Z,2014-08-03T21:00:00Z,2014,8,3,21,PRETRAIN_TRAIN,data/interim/gridsat/2014/gridsat_2014.08.03.21.npz,516929,72,116,"TIR1,TIR2,WV"
