storm_id,storm_name,year,split,start_timestamp_utc,end_timestamp_utc,total_original_samples,has_insat_coverage,paired_multisource_samples,missing_insat_samples,coverage_status
NIO_1998_UNNAMED_10,NIO_1998_UNNAMED_10,1998,TRAIN,1993-05-17T12:00:00+00:00,1998-05-20T12:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_1998_UNNAMED_16,NIO_1998_UNNAMED_16,1998,TRAIN,1998-05-20T06:00:00+00:00,1998-06-08T03:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_1998_UNNAMED_26,NIO_1998_UNNAMED_26,1998,TRAIN,1998-06-13T15:00:00+00:00,1998-06-15T03:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_1998_UNNAMED_31,NIO_1998_UNNAMED_31,1998,TRAIN,1998-10-06T12:00:00+00:00,1998-10-09T12:00:00+00:00,1,False,0,1,PRE_INSAT3D
NIO_1998_UNNAMED_46,NIO_1998_UNNAMED_46,1998,TRAIN,1998-10-28T10:02:00+00:00,1998-10-28T10:02:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_1998_UNNAMED_52,NIO_1998_UNNAMED_52,1998,TRAIN,1998-11-13T03:00:00+00:00,1998-11-16T03:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_1999_UNNAMED_13,NIO_1999_UNNAMED_13,1999,TRAIN,1999-02-01T03:00:00+00:00,1999-02-03T18:00:00+00:00,1,False,0,1,PRE_INSAT3D
NIO_1999_UNNAMED_40,NIO_1999_UNNAMED_40,1999,TRAIN,1999-02-03T03:00:00+00:00,1999-08-09T00:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_1999_UNNAMED_48,NIO_1999_UNNAMED_48,1999,TRAIN,1999-10-17T18:00:00+00:00,1999-10-19T03:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2000_UNNAMED_49,NIO_2000_UNNAMED_49,2000,TRAIN,2000-12-27T00:00:00+00:00,2000-12-27T21:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2001_UNNAMED_18,NIO_2001_UNNAMED_18,2001,TRAIN,2001-05-26T00:00:00+00:00,2001-05-27T06:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2001_UNNAMED_34,NIO_2001_UNNAMED_34,2001,TRAIN,2001-09-26T10:04:00+00:00,2001-09-26T10:04:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2002_UNNAMED_25,NIO_2002_UNNAMED_25,2002,TRAIN,2002-11-10T03:00:00+00:00,2002-11-12T15:00:00+00:00,1,False,0,1,PRE_INSAT3D
NIO_2002_UNNAMED_29,NIO_2002_UNNAMED_29,2002,TRAIN,2002-11-23T03:00:00+00:00,2002-11-26T21:00:00+00:00,4,False,0,4,PRE_INSAT3D
NIO_2002_UNNAMED_30,NIO_2002_UNNAMED_30,2002,TRAIN,2002-11-27T00:00:00+00:00,2002-11-28T12:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2002_UNNAMED_33,NIO_2002_UNNAMED_33,2002,TRAIN,2002-12-21T03:00:00+00:00,2002-12-25T15:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2003_01B,BOB_VSCS_MAY,2003,TRAIN,2003-05-10T21:00:00+00:00,2003-05-14T10:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2003_02B,BOB_DD_JULY,2003,TRAIN,2003-07-25T03:00:00+00:00,2003-07-25T03:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2003_04B,BOB_D_OCT,2003,TRAIN,2003-10-06T00:30:00+00:00,2003-10-06T12:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2003_05B,BOB_DD_OCT,2003,TRAIN,2003-10-26T10:04:00+00:00,2003-10-26T12:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2003_03A,ARB_SCS_NOV,2003,TRAIN,2003-11-12T10:00:00+00:00,2003-11-12T15:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2003_06B,BOB_SCS_DEC,2003,TRAIN,2003-12-11T00:00:00+00:00,2003-12-11T12:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2004_UNNAMED_29,NIO_2004_UNNAMED_29,2004,TRAIN,2004-05-09T04:00:00+00:00,2004-05-09T04:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2005_IN,IN,2005,TRAIN,2005-01-13T12:00:00+00:00,2005-01-17T12:00:00+00:00,1,False,0,1,PRE_INSAT3D
NIO_2005_UNNAMED_2_2_1,NIO_2005_UNNAMED_2_2_1,2005,TRAIN,2005-06-21T03:00:00+00:00,2005-06-22T12:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2005_UNNAMED_2_3_1,NIO_2005_UNNAMED_2_3_1,2005,TRAIN,2005-06-27T12:00:00+00:00,2005-07-05T12:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2005_EPRESSION,EPRESSION,2005,TRAIN,2005-07-29T03:00:00+00:00,2005-07-31T12:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2005_UNNAMED_2_5_1,NIO_2005_UNNAMED_2_5_1,2005,TRAIN,2005-09-12T03:00:00+00:00,2005-09-16T12:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2005_UNNAMED_2_6_1,NIO_2005_UNNAMED_2_6_1,2005,TRAIN,2005-09-14T03:00:00+00:00,2005-09-16T12:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2005_UNNAMED_2_7_1,NIO_2005_UNNAMED_2_7_1,2005,TRAIN,2005-09-17T03:00:00+00:00,2005-09-21T12:00:00+00:00,4,False,0,4,PRE_INSAT3D
NIO_2005_UNNAMED_2_8_1,NIO_2005_UNNAMED_2_8_1,2005,TRAIN,2005-10-26T03:00:00+00:00,2005-10-29T03:00:00+00:00,5,False,0,5,PRE_INSAT3D
NIO_2005_UNNAMED_2_9_1,NIO_2005_UNNAMED_2_9_1,2005,TRAIN,2005-11-20T03:00:00+00:00,2005-11-22T09:00:00+00:00,3,False,0,3,PRE_INSAT3D
NIO_2005_UNNAMED_2_10,NIO_2005_UNNAMED_2_10,2005,TRAIN,2005-11-28T03:00:00+00:00,2005-12-02T03:00:00+00:00,17,False,0,17,PRE_INSAT3D
NIO_2005_UNNAMED_2_11_1,NIO_2005_UNNAMED_2_11_1,2005,TRAIN,2005-12-06T03:00:00+00:00,2005-12-09T21:00:00+00:00,15,False,0,15,PRE_INSAT3D
NIO_2005_UNNAMED_2_12_1,NIO_2005_UNNAMED_2_12_1,2005,TRAIN,2005-12-15T12:00:00+00:00,2005-12-22T00:00:00+00:00,37,False,0,37,PRE_INSAT3D
NIO_2006_UNNAMED_2_1_1,NIO_2006_UNNAMED_2_1_1,2006,TRAIN,2006-01-13T12:00:00+00:00,2006-01-14T21:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2006_UNNAMED_2_2_1,NIO_2006_UNNAMED_2_2_1,2006,TRAIN,2006-04-25T03:00:00+00:00,2006-04-29T18:00:00+00:00,22,False,0,22,PRE_INSAT3D
NIO_2006_UNNAMED_2_2_3,NIO_2006_UNNAMED_2_2_3,2006,TRAIN,2006-07-02T00:00:00+00:00,2006-07-05T06:00:00+00:00,11,False,0,11,PRE_INSAT3D
NIO_2006_UNNAMED_2_4_1,NIO_2006_UNNAMED_2_4_1,2006,TRAIN,2006-08-02T03:00:00+00:00,2006-08-05T06:00:00+00:00,1,False,0,1,PRE_INSAT3D
NIO_2006_UNNAMED_2_5_1,NIO_2006_UNNAMED_2_5_1,2006,TRAIN,2006-08-12T03:00:00+00:00,2006-08-13T00:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2006_UNNAMED_2_6_1,NIO_2006_UNNAMED_2_6_1,2006,TRAIN,2006-08-16T03:00:00+00:00,2006-08-18T09:00:00+00:00,3,False,0,3,PRE_INSAT3D
NIO_2006_UNNAMED_2_2_7,NIO_2006_UNNAMED_2_2_7,2006,TRAIN,2006-08-29T03:00:00+00:00,2006-09-01T06:00:00+00:00,10,False,0,10,PRE_INSAT3D
NIO_2006_HEAVY,HEAVY,2006,TRAIN,2006-09-03T12:00:00+00:00,2006-09-04T21:00:00+00:00,0,False,0,0,NO_GRID_SAMPLES
NIO_2006_UNNAMED_2_10_1,NIO_2006_UNNAMED_2_10_1,2006,TRAIN,2006-09-21T03:00:00+00:00,2006-09-24T12:00:00+00:00,12,False,0,12,PRE_INSAT3D
