sample_id,storm_id,split,horizon,grid_timestamp,insat_timestamp,delta_minutes,insat_file_identifier,match_status,is_causal
NIO_2014_NILOFAR_20141025_0000Z,NIO_2014_NILOFAR,TRAIN,t-15h,2014-10-24T09:00:00Z,2014-10-24T09:00:00Z,0.0,3DIMG_24OCT2014_0900_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_0000Z,NIO_2014_NILOFAR,TRAIN,t-12h,2014-10-24T12:00:00Z,2014-10-24T12:00:00Z,0.0,3DIMG_24OCT2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_0000Z,NIO_2014_NILOFAR,TRAIN,t-9h,2014-10-24T15:00:00Z,2014-10-24T15:00:00Z,0.0,3DIMG_24OCT2014_1500_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_0000Z,NIO_2014_NILOFAR,TRAIN,t-6h,2014-10-24T18:00:00Z,2014-10-24T19:00:00Z,60.0,3DIMG_24OCT2014_1900_L1C_ASIA_MER_V01R00.h5,NEAR_SYNOPTIC,True
NIO_2014_NILOFAR_20141025_0000Z,NIO_2014_NILOFAR,TRAIN,t-3h,2014-10-24T21:00:00Z,2014-10-24T21:00:00Z,0.0,3DIMG_24OCT2014_2100_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_0000Z,NIO_2014_NILOFAR,TRAIN,t0,2014-10-25T00:00:00Z,2014-10-25T00:00:00Z,0.0,3DIMG_25OCT2014_0000_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_0300Z,NIO_2014_NILOFAR,TRAIN,t-15h,2014-10-24T12:00:00Z,2014-10-24T12:00:00Z,0.0,3DIMG_24OCT2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_0300Z,NIO_2014_NILOFAR,TRAIN,t-12h,2014-10-24T15:00:00Z,2014-10-24T15:00:00Z,0.0,3DIMG_24OCT2014_1500_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_0300Z,NIO_2014_NILOFAR,TRAIN,t-9h,2014-10-24T18:00:00Z,2014-10-24T19:00:00Z,60.0,3DIMG_24OCT2014_1900_L1C_ASIA_MER_V01R00.h5,NEAR_SYNOPTIC,True
NIO_2014_NILOFAR_20141025_0300Z,NIO_2014_NILOFAR,TRAIN,t-6h,2014-10-24T21:00:00Z,2014-10-24T21:00:00Z,0.0,3DIMG_24OCT2014_2100_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_0300Z,NIO_2014_NILOFAR,TRAIN,t-3h,2014-10-25T00:00:00Z,2014-10-25T00:00:00Z,0.0,3DIMG_25OCT2014_0000_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_0300Z,NIO_2014_NILOFAR,TRAIN,t0,2014-10-25T03:00:00Z,2014-10-25T03:00:00Z,0.0,3DIMG_25OCT2014_0300_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_0600Z,NIO_2014_NILOFAR,TRAIN,t-15h,2014-10-24T15:00:00Z,2014-10-24T15:00:00Z,0.0,3DIMG_24OCT2014_1500_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_0600Z,NIO_2014_NILOFAR,TRAIN,t-12h,2014-10-24T18:00:00Z,2014-10-24T19:00:00Z,60.0,3DIMG_24OCT2014_1900_L1C_ASIA_MER_V01R00.h5,NEAR_SYNOPTIC,True
NIO_2014_NILOFAR_20141025_0600Z,NIO_2014_NILOFAR,TRAIN,t-9h,2014-10-24T21:00:00Z,2014-10-24T21:00:00Z,0.0,3DIMG_24OCT2014_2100_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_0600Z,NIO_2014_NILOFAR,TRAIN,t-6h,2014-10-25T00:00:00Z,2014-10-25T00:00:00Z,0.0,3DIMG_25OCT2014_0000_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_0600Z,NIO_2014_NILOFAR,TRAIN,t-3h,2014-10-25T03:00:00Z,2014-10-25T03:00:00Z,0.0,3DIMG_25OCT2014_0300_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_0600Z,NIO_2014_NILOFAR,TRAIN,t0,2014-10-25T06:00:00Z,2014-10-25T06:00:00Z,0.0,3DIMG_25OCT2014_0600_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_1200Z,NIO_2014_NILOFAR,TRAIN,t-15h,2014-10-24T21:00:00Z,2014-10-24T21:00:00Z,0.0,3DIMG_24OCT2014_2100_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_1200Z,NIO_2014_NILOFAR,TRAIN,t-12h,2014-10-25T00:00:00Z,2014-10-25T00:00:00Z,0.0,3DIMG_25OCT2014_0000_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_1200Z,NIO_2014_NILOFAR,TRAIN,t-9h,2014-10-25T03:00:00Z,2014-10-25T03:00:00Z,0.0,3DIMG_25OCT2014_0300_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_1200Z,NIO_2014_NILOFAR,TRAIN,t-6h,2014-10-25T06:00:00Z,2014-10-25T06:00:00Z,0.0,3DIMG_25OCT2014_0600_L1C_ASIA_MER_V01R00.h5,EXACT,True
