storm_id,storm_name,year,start_time_utc,end_time_utc,num_observations,split,source_file,source_report,first_source_page,last_source_page,quality_status,manual_review_count
NIO_1998_UNNAMED_10,,1998,1993-05-17T12:00:00+00:00,1998-05-20T12:00:00+00:00,16,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,10,10,REVIEW_REQUIRED,16
NIO_1998_UNNAMED_16,,1998,1998-05-20T06:00:00+00:00,1998-06-08T03:00:00+00:00,19,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,16,16,REVIEW_REQUIRED,19
NIO_1998_UNNAMED_26,,1998,1998-06-13T15:00:00+00:00,1998-06-15T03:00:00+00:00,9,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,26,26,REVIEW_REQUIRED,9
NIO_1998_UNNAMED_31,,1998,1998-10-06T12:00:00+00:00,1998-10-09T12:00:00+00:00,16,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,31,31,REVIEW_REQUIRED,16
NIO_1998_UNNAMED_46,,1998,1998-10-26T09:00:00+00:00,1998-10-29T09:00:00+00:00,17,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,46,46,REVIEW_REQUIRED,17
NIO_1998_UNNAMED_52,,1998,1998-11-13T03:00:00+00:00,1998-11-16T03:00:00+00:00,14,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,52,52,REVIEW_REQUIRED,14
NIO_1998_UNNAMED_68,,1998,1998-12-16T00:00:00+00:00,1998-12-17T03:00:00+00:00,8,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,68,68,REVIEW_REQUIRED,8
NIO_1999_UNNAMED_13,,1999,1999-02-01T03:00:00+00:00,1999-02-03T18:00:00+00:00,13,TRAIN,27_510109_35_66a331_1999.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1999,13,13,REVIEW_REQUIRED,13
NIO_1999_UNNAMED_40,,1999,1999-02-03T03:00:00+00:00,1999-08-09T00:00:00+00:00,7,TRAIN,27_510109_35_66a331_1999.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1999,40,40,REVIEW_REQUIRED,7
NIO_1999_UNNAMED_48,,1999,1999-10-17T18:00:00+00:00,1999-10-19T03:00:00+00:00,11,TRAIN,27_510109_35_66a331_1999.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1999,48,48,REVIEW_REQUIRED,11
NIO_1999_UNNAMED_54,,1999,,,1,TRAIN,27_510109_35_66a331_1999.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1999,54,54,REVIEW_REQUIRED,1
NIO_2000_UNNAMED_49,,2000,2000-12-27T00:00:00+00:00,2000-12-27T21:00:00+00:00,13,TRAIN,27_5af63e_35_0c0afa_2000.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2000,49,49,REVIEW_REQUIRED,13
NIO_2000_UNNAMED_19,,2000,,,5,TRAIN,27_5af63e_35_0c0afa_2000.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2000,19,19,REVIEW_REQUIRED,5
NIO_2001_UNNAMED_18,,2001,2001-05-26T00:00:00+00:00,2001-05-27T06:00:00+00:00,25,TRAIN,27_fa9a04_35_168f8a_2001.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2001,18,18,REVIEW_REQUIRED,25
NIO_2001_UNNAMED_34,,2001,2001-09-26T03:00:00+00:00,2001-09-26T21:00:00+00:00,15,TRAIN,27_fa9a04_35_168f8a_2001.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2001,34,34,REVIEW_REQUIRED,15
NIO_2001_UNNAMED_28,,2001,,,5,TRAIN,27_fa9a04_35_168f8a_2001.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2001,28,28,REVIEW_REQUIRED,5
NIO_2002_UNNAMED_25,,2002,2002-11-10T03:00:00+00:00,2002-11-12T15:00:00+00:00,16,TRAIN,27_54cee6_35_6641c5_2002.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2002,25,25,REVIEW_REQUIRED,16
NIO_2002_UNNAMED_29,,2002,2002-11-23T03:00:00+00:00,2002-11-25T21:00:00+00:00,24,TRAIN,27_54cee6_35_6641c5_2002.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2002,29,29,REVIEW_REQUIRED,24
NIO_2002_UNNAMED_30,,2002,2002-11-27T00:00:00+00:00,2002-11-28T12:00:00+00:00,9,TRAIN,27_54cee6_35_6641c5_2002.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2002,30,30,REVIEW_REQUIRED,9
NIO_2002_UNNAMED_33,,2002,2002-12-21T00:00:00+00:00,2002-12-24T21:00:00+00:00,24,TRAIN,27_54cee6_35_6641c5_2002.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2002,33,33,REVIEW_REQUIRED,24
NIO_2002_UNNAMED_18,,2002,,,1,TRAIN,27_54cee6_35_6641c5_2002.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2002,18,18,REVIEW_REQUIRED,1
NIO_2003_UNNAMED_36,,2003,,,1,TRAIN,27_becfa7_35_7946c7_2003.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2003,36,36,REVIEW_REQUIRED,1
NIO_2003_UNNAMED_45,,2003,,,2,TRAIN,27_becfa7_35_7946c7_2003.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2003,45,45,REVIEW_REQUIRED,2
NIO_2004_UNNAMED_16,,2004,2004-05-05T03:00:00+00:00,2004-05-09T06:00:00+00:00,31,TRAIN,27_be26e0_35_2bd72b_2004.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2004,16,16,REVIEW_REQUIRED,31
NIO_2004_UNNAMED_29,,2004,2004-05-09T04:00:00+00:00,2004-05-09T04:00:00+00:00,5,TRAIN,27_be26e0_35_2bd72b_2004.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2004,29,29,REVIEW_REQUIRED,5
NIO_2004_UNNAMED_44,,2004,2004-10-02T03:00:00+00:00,2004-10-03T21:00:00+00:00,15,TRAIN,27_be26e0_35_2bd72b_2004.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2004,44,44,REVIEW_REQUIRED,15
NIO_2004_UNNAMED_38,,2004,,,5,TRAIN,27_be26e0_35_2bd72b_2004.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2004,38,38,REVIEW_REQUIRED,5
NIO_2004_UNNAMED_52,,2004,,,2,TRAIN,27_be26e0_35_2bd72b_2004.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2004,52,52,REVIEW_REQUIRED,2
NIO_2005_IN,IN,2005,2005-01-13T12:00:00+00:00,2005-01-17T12:00:00+00:00,23,TRAIN,27_684961_rsmc-2005 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2005,18,18,REVIEW_REQUIRED,4
NIO_2005_UNNAMED_2_2_1,,2005,2005-06-21T03:00:00+00:00,2005-06-22T12:00:00+00:00,4,TRAIN,27_684961_rsmc-2005 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2005,21,21,OK,0
NIO_2005_UNNAMED_2_3_1,,2005,2005-06-27T12:00:00+00:00,2005-07-05T12:00:00+00:00,17,TRAIN,27_684961_rsmc-2005 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2005,24,24,OK,0
NIO_2005_EPRESSION,EPRESSION,2005,2005-07-29T03:00:00+00:00,2005-07-31T12:00:00+00:00,6,TRAIN,27_684961_rsmc-2005 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2005,28,28,OK,0
NIO_2005_UNNAMED_2_5_1,,2005,2005-09-12T03:00:00+00:00,2005-09-16T12:00:00+00:00,10,TRAIN,27_684961_rsmc-2005 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2005,33,33,OK,0
NIO_2005_UNNAMED_2_6_1,,2005,2005-09-14T03:00:00+00:00,2005-09-16T12:00:00+00:00,6,TRAIN,27_684961_rsmc-2005 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2005,35,35,OK,0
NIO_2005_UNNAMED_2_7_1,,2005,2005-09-17T03:00:00+00:00,2005-09-21T12:00:00+00:00,24,TRAIN,27_684961_rsmc-2005 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2005,38,38,REVIEW_REQUIRED,1
NIO_2005_UNNAMED_2_8_1,,2005,2005-10-26T03:00:00+00:00,2005-10-29T03:00:00+00:00,21,TRAIN,27_684961_rsmc-2005 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2005,43,43,OK,0
NIO_2005_UNNAMED_2_9_1,,2005,2005-11-20T03:00:00+00:00,2005-11-22T09:00:00+00:00,19,TRAIN,27_684961_rsmc-2005 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2005,47,47,OK,0
NIO_2005_UNNAMED_2_10,,2005,2005-11-28T03:00:00+00:00,2005-12-02T03:00:00+00:00,33,TRAIN,27_684961_rsmc-2005 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2005,50,50,OK,0
NIO_2005_UNNAMED_2_11_1,,2005,2005-12-06T03:00:00+00:00,2005-12-09T21:00:00+00:00,31,TRAIN,27_684961_rsmc-2005 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2005,55,55,OK,0
NIO_2005_UNNAMED_2_12_1,,2005,2005-12-15T12:00:00+00:00,2005-12-22T00:00:00+00:00,53,TRAIN,27_684961_rsmc-2005 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2005,60,60,OK,0
NIO_2006_UNNAMED_2_1_1,,2006,2006-01-13T12:00:00+00:00,2006-01-14T21:00:00+00:00,9,TRAIN,27_b1dd60_rsmc-2006 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2006,19,19,OK,0
NIO_2006_UNNAMED_2_2_1,,2006,2006-04-25T03:00:00+00:00,2006-04-29T18:00:00+00:00,38,TRAIN,27_b1dd60_rsmc-2006 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2006,23,23,OK,0
NIO_2006_UNNAMED_2_2_3,,2006,2006-07-02T00:00:00+00:00,2006-07-05T06:00:00+00:00,27,TRAIN,27_b1dd60_rsmc-2006 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2006,29,29,OK,0
NIO_2006_UNNAMED_2_5_1,,2006,2006-08-12T03:00:00+00:00,2006-08-13T00:00:00+00:00,8,TRAIN,27_b1dd60_rsmc-2006 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2006,41,41,OK,0
NIO_2006_UNNAMED_2_6_1,,2006,2006-08-16T03:00:00+00:00,2006-08-18T09:00:00+00:00,19,TRAIN,27_b1dd60_rsmc-2006 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2006,46,46,OK,0
NIO_2006_UNNAMED_2_2_7,,2006,2006-08-29T03:00:00+00:00,2006-09-01T06:00:00+00:00,26,TRAIN,27_b1dd60_rsmc-2006 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2006,52,52,OK,0
NIO_2006_HEAVY,HEAVY,2006,2006-09-03T12:00:00+00:00,2006-09-04T21:00:00+00:00,12,TRAIN,27_b1dd60_rsmc-2006 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2006,58,58,OK,0
NIO_2006_UNNAMED_2_10_1,,2006,2006-09-21T03:00:00+00:00,2006-09-24T12:00:00+00:00,28,TRAIN,27_b1dd60_rsmc-2006 .pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2006,69,69,OK,0
