storm_id,storm_name,year,split,start_timestamp_utc,end_timestamp_utc,observation_count,max_wind_kt,min_pressure_hpa,peak_category,min_latitude,max_latitude,min_longitude,max_longitude
NIO_1998_UNNAMED_10,NIO_1998_UNNAMED_10,1998,TRAIN,1993-05-17T12:00:00+00:00,1998-05-20T12:00:00+00:00,13,60.0,974.0,DD,14.5,23.5,88.0,92.5
NIO_1998_UNNAMED_16,NIO_1998_UNNAMED_16,1998,TRAIN,1998-05-20T06:00:00+00:00,1998-06-08T03:00:00+00:00,9,93.0,970.0,VSCS,6.6,69.0,3.0,70.0
NIO_1998_UNNAMED_26,NIO_1998_UNNAMED_26,1998,TRAIN,1998-06-13T15:00:00+00:00,1998-06-15T03:00:00+00:00,8,30.0,992.0,DD,17.5,20.0,80.0,87.5
NIO_1998_UNNAMED_31,NIO_1998_UNNAMED_31,1998,TRAIN,1998-10-06T12:00:00+00:00,1998-10-09T12:00:00+00:00,15,30.0,998.0,DD,14.0,15.0,63.5,69.0
NIO_1998_UNNAMED_46,NIO_1998_UNNAMED_46,1998,TRAIN,1998-10-28T10:02:00+00:00,1998-10-28T10:02:00+00:00,1,30.0,1002.0,DD,43.0,43.0,85.5,85.5
NIO_1998_UNNAMED_52,NIO_1998_UNNAMED_52,1998,TRAIN,1998-11-13T03:00:00+00:00,1998-11-16T03:00:00+00:00,14,65.0,982.0,DD,13.0,20.5,82.0,87.5
NIO_1999_UNNAMED_13,NIO_1999_UNNAMED_13,1999,TRAIN,1999-02-01T03:00:00+00:00,1999-02-03T18:00:00+00:00,13,50.0,998.0,D,9.0,12.0,85.0,89.0
NIO_1999_UNNAMED_40,NIO_1999_UNNAMED_40,1999,TRAIN,1999-02-03T03:00:00+00:00,1999-08-09T00:00:00+00:00,5,20.0,992.0,D,9.8,22.5,1.5,87.5
NIO_1999_UNNAMED_48,NIO_1999_UNNAMED_48,1999,TRAIN,1999-10-17T18:00:00+00:00,1999-10-19T03:00:00+00:00,10,90.0,968.0,DD,19.2,23.5,85.0,86.5
NIO_2000_UNNAMED_49,NIO_2000_UNNAMED_49,2000,TRAIN,2000-12-27T00:00:00+00:00,2000-12-27T21:00:00+00:00,8,77.0,988.0,CS,8.5,29.12,2.0,79.0
NIO_2001_UNNAMED_18,NIO_2001_UNNAMED_18,2001,TRAIN,2001-05-26T00:00:00+00:00,2001-05-27T06:00:00+00:00,8,55.0,934.0,SCS,3.5,77.5,67.5,67.5
NIO_2001_UNNAMED_34,NIO_2001_UNNAMED_34,2001,TRAIN,2001-09-26T10:04:00+00:00,2001-09-26T10:04:00+00:00,1,35.0,1004.0,UNKNOWN,2.5,2.5,64.0,64.0
NIO_2002_UNNAMED_25,NIO_2002_UNNAMED_25,2002,TRAIN,2002-11-10T03:00:00+00:00,2002-11-12T15:00:00+00:00,16,55.0,990.0,DD,10.11,82.5,2.0,91.5
NIO_2002_UNNAMED_29,NIO_2002_UNNAMED_29,2002,TRAIN,2002-11-23T03:00:00+00:00,2002-11-26T21:00:00+00:00,24,35.0,1000.0,CS,10.0,87.0,1.5,89.5
NIO_2002_UNNAMED_30,NIO_2002_UNNAMED_30,2002,TRAIN,2002-11-27T00:00:00+00:00,2002-11-28T12:00:00+00:00,9,35.0,1002.0,D,16.5,78.0792,1.5,91.5
NIO_2002_UNNAMED_33,NIO_2002_UNNAMED_33,2002,TRAIN,2002-12-21T03:00:00+00:00,2002-12-25T15:00:00+00:00,19,35.0,1002.0,D,4.5,78.3,1.5,86.0
NIO_2003_01B,BOB_VSCS_MAY,2003,TRAIN,2003-05-10T21:00:00+00:00,2003-05-14T10:00:00+00:00,8,65.0,981.0,DD,5.0,25.0,85.0,89.0
NIO_2003_02B,BOB_DD_JULY,2003,TRAIN,2003-07-25T03:00:00+00:00,2003-07-25T03:00:00+00:00,1,15.0,992.0,UNKNOWN,21.0,21.0,89.0,89.0
NIO_2003_04B,BOB_D_OCT,2003,TRAIN,2003-10-06T00:30:00+00:00,2003-10-06T12:00:00+00:00,2,30.0,1000.0,UNKNOWN,5.0,5.0,84.5,86.0
NIO_2003_05B,BOB_DD_OCT,2003,TRAIN,2003-10-26T10:04:00+00:00,2003-10-26T12:00:00+00:00,2,30.0,1004.0,DD,14.5,16.5,84.5,89.0
NIO_2003_03A,ARB_SCS_NOV,2003,TRAIN,2003-11-12T10:00:00+00:00,2003-11-12T15:00:00+00:00,2,30.0,,UNKNOWN,5.0,5.0,59.0,61.5
NIO_2003_06B,BOB_SCS_DEC,2003,TRAIN,2003-12-11T00:00:00+00:00,2003-12-11T12:00:00+00:00,4,35.0,992.0,CS,5.0,13.4,82.0,88.0
NIO_2004_UNNAMED_29,NIO_2004_UNNAMED_29,2004,TRAIN,2004-05-09T04:00:00+00:00,2004-05-09T04:00:00+00:00,1,,,UNKNOWN,20.5,20.5,85.5,85.5
NIO_2005_IN,IN,2005,TRAIN,2005-01-13T12:00:00+00:00,2005-01-17T12:00:00+00:00,19,35.0,1002.0,D,5.0,5.5,86.0,87.0
NIO_2005_UNNAMED_2_2_1,NIO_2005_UNNAMED_2_2_1,2005,TRAIN,2005-06-21T03:00:00+00:00,2005-06-22T12:00:00+00:00,4,25.0,992.0,D,21.5,22.0,67.0,68.5
NIO_2005_UNNAMED_2_3_1,NIO_2005_UNNAMED_2_3_1,2005,TRAIN,2005-06-27T12:00:00+00:00,2005-07-05T12:00:00+00:00,17,25.0,990.0,D,21.5,26.0,79.5,88.0
NIO_2005_EPRESSION,EPRESSION,2005,TRAIN,2005-07-29T03:00:00+00:00,2005-07-31T12:00:00+00:00,6,30.0,988.0,DD,21.5,22.0,82.5,87.5
NIO_2005_UNNAMED_2_5_1,NIO_2005_UNNAMED_2_5_1,2005,TRAIN,2005-09-12T03:00:00+00:00,2005-09-16T12:00:00+00:00,10,25.0,992.0,D,20.0,28.0,78.0,88.0
NIO_2005_UNNAMED_2_6_1,NIO_2005_UNNAMED_2_6_1,2005,TRAIN,2005-09-14T03:00:00+00:00,2005-09-16T12:00:00+00:00,6,25.0,996.0,D,20.0,21.5,67.5,69.0
NIO_2005_UNNAMED_2_7_1,NIO_2005_UNNAMED_2_7_1,2005,TRAIN,2005-09-17T03:00:00+00:00,2005-09-21T12:00:00+00:00,23,35.0,988.0,D,18.5,21.0,76.0,90.5
NIO_2005_UNNAMED_2_8_1,NIO_2005_UNNAMED_2_8_1,2005,TRAIN,2005-10-26T03:00:00+00:00,2005-10-29T03:00:00+00:00,21,30.0,998.0,D,12.0,15.5,79.5,84.5
NIO_2005_UNNAMED_2_9_1,NIO_2005_UNNAMED_2_9_1,2005,TRAIN,2005-11-20T03:00:00+00:00,2005-11-22T09:00:00+00:00,19,25.0,1002.0,D,8.0,9.5,79.5,84.5
NIO_2005_UNNAMED_2_10,NIO_2005_UNNAMED_2_10,2005,TRAIN,2005-11-28T03:00:00+00:00,2005-12-02T03:00:00+00:00,33,45.0,998.0,D,10.5,13.0,82.5,90.5
NIO_2005_UNNAMED_2_11_1,NIO_2005_UNNAMED_2_11_1,2005,TRAIN,2005-12-06T03:00:00+00:00,2005-12-09T21:00:00+00:00,31,45.0,998.0,CS,10.5,11.0,81.0,89.5
NIO_2005_UNNAMED_2_12_1,NIO_2005_UNNAMED_2_12_1,2005,TRAIN,2005-12-15T12:00:00+00:00,2005-12-22T00:00:00+00:00,53,30.0,1000.0,D,8.0,12.0,82.5,87.0
NIO_2006_UNNAMED_2_1_1,NIO_2006_UNNAMED_2_1_1,2006,TRAIN,2006-01-13T12:00:00+00:00,2006-01-14T21:00:00+00:00,9,30.0,1004.0,D,5.0,7.0,72.0,77.0
NIO_2006_UNNAMED_2_2_1,NIO_2006_UNNAMED_2_2_1,2006,TRAIN,2006-04-25T03:00:00+00:00,2006-04-29T18:00:00+00:00,38,100.0,954.0,CS,9.5,19.0,89.0,96.0
NIO_2006_UNNAMED_2_2_3,NIO_2006_UNNAMED_2_2_3,2006,TRAIN,2006-07-02T00:00:00+00:00,2006-07-05T06:00:00+00:00,27,30.0,982.0,D,20.0,22.0,77.5,89.5
NIO_2006_UNNAMED_2_4_1,NIO_2006_UNNAMED_2_4_1,2006,TRAIN,2006-08-02T03:00:00+00:00,2006-08-05T06:00:00+00:00,16,30.0,986.0,D,19.5,21.0,79.5,87.5
NIO_2006_UNNAMED_2_5_1,NIO_2006_UNNAMED_2_5_1,2006,TRAIN,2006-08-12T03:00:00+00:00,2006-08-13T00:00:00+00:00,8,25.0,992.0,D,21.0,22.0,82.5,88.0
NIO_2006_UNNAMED_2_6_1,NIO_2006_UNNAMED_2_6_1,2006,TRAIN,2006-08-16T03:00:00+00:00,2006-08-18T09:00:00+00:00,19,25.0,988.0,D,20.5,23.5,77.0,88.0
NIO_2006_UNNAMED_2_2_7,NIO_2006_UNNAMED_2_2_7,2006,TRAIN,2006-08-29T03:00:00+00:00,2006-09-01T06:00:00+00:00,26,25.0,990.0,D,20.5,26.0,76.5,87.5
NIO_2006_HEAVY,HEAVY,2006,TRAIN,2006-09-03T12:00:00+00:00,2006-09-04T21:00:00+00:00,12,25.0,992.0,D,20.5,22.0,84.5,88.5
NIO_2006_UNNAMED_2_10_1,NIO_2006_UNNAMED_2_10_1,2006,TRAIN,2006-09-21T03:00:00+00:00,2006-09-24T12:00:00+00:00,28,55.0,988.0,D,19.5,21.0,66.0,67.0
NIO_2006_UNNAMED_2_9_1,NIO_2006_UNNAMED_2_9_1,2006,TRAIN,2006-09-21T03:00:00+00:00,2006-09-24T00:00:00+00:00,24,25.0,996.0,D,23.0,23.5,85.5,86.5
NIO_2006_UNNAMED_2_11_1,NIO_2006_UNNAMED_2_11_1,2006,TRAIN,2006-09-28T09:00:00+00:00,2006-09-30T00:00:00+00:00,14,25.0,1002.0,D,18.0,19.5,83.5,89.0
NIO_2006_UNNAMED_2_12_1,NIO_2006_UNNAMED_2_12_1,2006,TRAIN,2006-10-29T00:00:00+00:00,2006-10-30T09:00:00+00:00,12,35.0,998.0,D,14.0,15.8,80.3,80.5
