storm_id,storm_name,year,split,t0,lat_t0,lon_t0,wind_t0,pressure_t0,category_t0,target_12h_timestamp,lat_12h,lon_12h,wind_12h,pressure_12h,category_12h,target_24h_timestamp,lat_24h,lon_24h,wind_24h,pressure_24h,category_24h,target_48h_timestamp,lat_48h,lon_48h,wind_48h,pressure_48h,category_48h,t_minus_15h,t_minus_12h,t_minus_9h,t_minus_6h,t_minus_3h
NIO_1998_UNNAMED_31,,1998,TRAIN,1998-10-07T03:00:00+00:00,14.0,69.0,15.0,1004.0,,1998-10-07T15:00:00+00:00,14.0,68.0,25.0,1002.0,,1998-10-08T03:00:00+00:00,14.0,67.0,30.0,1002.0,DD,1998-10-09T03:00:00+00:00,15.0,64.5,30.0,1002.0,DD,1998-10-06T12:00:00+00:00,1998-10-06T15:00:00+00:00,1998-10-06T18:00:00+00:00,1998-10-06T21:00:00+00:00,1998-10-07T00:00:00+00:00
NIO_1999_UNNAMED_13,,1999,TRAIN,1999-02-01T03:00:00+00:00,9.0,89.0,25.0,1006.0,D,1999-02-01T15:00:00+00:00,9.0,88.0,25.0,1004.0,D,1999-02-02T03:00:00+00:00,9.5,86.0,15.0,1006.0,D,1999-02-03T03:00:00+00:00,11.5,86.0,50.0,998.0,CS,1999-01-31T12:00:00+00:00,1999-01-31T15:00:00+00:00,1999-01-31T18:00:00+00:00,1999-01-31T21:00:00+00:00,1999-02-01T00:00:00+00:00
NIO_2002_UNNAMED_25,,2002,TRAIN,2002-11-10T12:00:00+00:00,12.0,82.5,30.0,1002.0,DD,2002-11-11T00:00:00+00:00,13.5,82.5,20.0,1004.0,DD,2002-11-11T12:00:00+00:00,16.0,84.5,25.0,996.0,CS,2002-11-12T12:00:00+00:00,24.0,90.0,,,DD,2002-11-09T21:00:00+00:00,2002-11-10T00:00:00+00:00,2002-11-10T03:00:00+00:00,2002-11-10T06:00:00+00:00,2002-11-10T09:00:00+00:00
NIO_2002_UNNAMED_29,,2002,TRAIN,2002-11-23T06:00:00+00:00,10.5,87.0,25.0,1004.0,D,2002-11-23T18:00:00+00:00,12.5,87.0,20.0,1002.0,DD,2002-11-24T06:00:00+00:00,13.5,87.5,25.0,,CS,2002-11-25T06:00:00+00:00,15.5,88.0,25.0,1002.0,CS,2002-11-22T15:00:00+00:00,2002-11-22T18:00:00+00:00,2002-11-22T21:00:00+00:00,2002-11-23T00:00:00+00:00,2002-11-23T03:00:00+00:00
NIO_2002_UNNAMED_29,,2002,TRAIN,2002-11-23T12:00:00+00:00,12.0,87.0,25.0,1002.0,D,2002-11-24T00:00:00+00:00,13.0,87.5,20.0,1002.0,DD,2002-11-24T12:00:00+00:00,15.0,88.0,35.0,1000.0,CS,2002-11-25T12:00:00+00:00,15.5,88.0,25.0,1000.0,CS,2002-11-22T21:00:00+00:00,2002-11-23T00:00:00+00:00,2002-11-23T03:00:00+00:00,2002-11-23T06:00:00+00:00,2002-11-23T09:00:00+00:00
NIO_2002_UNNAMED_29,,2002,TRAIN,2002-11-24T00:00:00+00:00,13.0,87.5,20.0,1002.0,DD,2002-11-24T12:00:00+00:00,15.0,88.0,35.0,1000.0,CS,2002-11-25T00:00:00+00:00,15.5,88.0,25.0,1002.0,CS,2002-11-26T00:00:00+00:00,16.0,88.0,25.0,1002.0,CS,2002-11-23T09:00:00+00:00,2002-11-23T12:00:00+00:00,2002-11-23T15:00:00+00:00,2002-11-23T18:00:00+00:00,2002-11-23T21:00:00+00:00
NIO_2002_UNNAMED_29,,2002,TRAIN,2002-11-24T12:00:00+00:00,15.0,88.0,35.0,1000.0,CS,2002-11-25T00:00:00+00:00,15.5,88.0,25.0,1002.0,CS,2002-11-25T12:00:00+00:00,15.5,88.0,25.0,1000.0,CS,2002-11-26T12:00:00+00:00,16.5,88.5,25.0,1000.0,CS,2002-11-23T21:00:00+00:00,2002-11-24T00:00:00+00:00,2002-11-24T03:00:00+00:00,2002-11-24T06:00:00+00:00,2002-11-24T09:00:00+00:00
NIO_2005_IN,IN,2005,TRAIN,2005-01-15T03:00:00+00:00,5.5,87.0,35.0,1002.0,CS,2005-01-15T15:00:00+00:00,5.5,87.0,35.0,1002.0,CS,2005-01-16T03:00:00+00:00,5.5,86.5,35.0,1004.0,CS,2005-01-17T03:00:00+00:00,5.0,86.0,30.0,1004.0,DD,2005-01-14T12:00:00+00:00,2005-01-14T15:00:00+00:00,2005-01-14T18:00:00+00:00,2005-01-14T21:00:00+00:00,2005-01-15T00:00:00+00:00
NIO_2005_UNNAMED_2_10,,2005,TRAIN,2005-11-28T03:00:00+00:00,10.5,90.5,25.0,1006.0,D,2005-11-28T15:00:00+00:00,10.5,88.0,30.0,1004.0,DD,2005-11-29T03:00:00+00:00,10.5,87.0,45.0,1002.0,CS,2005-11-30T03:00:00+00:00,12.0,84.0,45.0,998.0,CS,2005-11-27T12:00:00+00:00,2005-11-27T15:00:00+00:00,2005-11-27T18:00:00+00:00,2005-11-27T21:00:00+00:00,2005-11-28T00:00:00+00:00
NIO_2005_UNNAMED_2_10,,2005,TRAIN,2005-11-28T06:00:00+00:00,10.5,90.0,30.0,1004.0,DD,2005-11-28T18:00:00+00:00,10.5,88.0,35.0,1004.0,CS,2005-11-29T06:00:00+00:00,11.0,86.0,45.0,998.0,CS,2005-11-30T06:00:00+00:00,12.5,84.0,35.0,998.0,CS,2005-11-27T15:00:00+00:00,2005-11-27T18:00:00+00:00,2005-11-27T21:00:00+00:00,2005-11-28T00:00:00+00:00,2005-11-28T03:00:00+00:00
