sample_id,storm_id,timestamp,field,sample_index_value,imd_v2_value,raw_source_value,source_file,source_page,source_table,source_row,classification,reason,recommended_action,resolution_status,resolved_sample_index_value
NIO_2007_UNNAMED_2_3_1_20070604_1500Z,NIO_2007_UNNAMED_2_3_1,2007-06-04T15:00:00+00:00,imd_category_t0,SUCS,SUCS,SUCS,27_82fddf_rsmc-2007.pdf,32,Table 2.3.1,23,CASING_INCONSISTENCY,Uppercase SUCS in source table instead of title-case SuCS.,Normalize SUCS to canonical schema SuCS.,RESOLVED_BY_SOURCE_CORRECTION,SuCS
NIO_2007_UNNAMED_2_3_1_20070604_1800Z,NIO_2007_UNNAMED_2_3_1,2007-06-04T18:00:00+00:00,imd_category_t0,SUCS,SUCS,SUCS,27_82fddf_rsmc-2007.pdf,32,Table 2.3.1,24,CASING_INCONSISTENCY,Uppercase SUCS in source table instead of title-case SuCS.,Normalize SUCS to canonical schema SuCS.,RESOLVED_BY_SOURCE_CORRECTION,SuCS
NIO_2018_MEKUNU_20180522_0600Z,NIO_2018_MEKUNU,2018-05-22T06:00:00+00:00,imd_category_t0,6,6,6,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,1,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,DD
NIO_2018_MEKUNU_20180522_1200Z,NIO_2018_MEKUNU,2018-05-22T12:00:00+00:00,imd_category_t0,7,7,7,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,2,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,CS
NIO_2018_MEKUNU_20180522_1500Z,NIO_2018_MEKUNU,2018-05-22T15:00:00+00:00,imd_category_t0,7,7,7,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,3,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,CS
NIO_2018_MEKUNU_20180522_1800Z,NIO_2018_MEKUNU,2018-05-22T18:00:00+00:00,imd_category_t0,8,8,8,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,4,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,CS
NIO_2018_MEKUNU_20180522_2100Z,NIO_2018_MEKUNU,2018-05-22T21:00:00+00:00,imd_category_t0,9,9,9,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,5,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,CS
NIO_2018_MEKUNU_20180523_0000Z,NIO_2018_MEKUNU,2018-05-23T00:00:00+00:00,imd_category_t0,10,10,10,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,6,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,CS
NIO_2018_MEKUNU_20180523_0300Z,NIO_2018_MEKUNU,2018-05-23T03:00:00+00:00,imd_category_t0,15,15,15,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,7,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,SCS
NIO_2018_MEKUNU_20180523_0600Z,NIO_2018_MEKUNU,2018-05-23T06:00:00+00:00,imd_category_t0,18,18,18,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,8,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,SCS
NIO_2018_MEKUNU_20180523_0900Z,NIO_2018_MEKUNU,2018-05-23T09:00:00+00:00,imd_category_t0,20,20,20,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,9,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,VSCS
NIO_2018_MEKUNU_20180523_1200Z,NIO_2018_MEKUNU,2018-05-23T12:00:00+00:00,imd_category_t0,22,22,22,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,10,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,VSCS
NIO_2018_MEKUNU_20180523_1500Z,NIO_2018_MEKUNU,2018-05-23T15:00:00+00:00,imd_category_t0,24,24,24,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,11,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,VSCS
NIO_2018_MEKUNU_20180523_1800Z,NIO_2018_MEKUNU,2018-05-23T18:00:00+00:00,imd_category_t0,24,24,24,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,12,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,VSCS
NIO_2018_MEKUNU_20180523_2100Z,NIO_2018_MEKUNU,2018-05-23T21:00:00+00:00,imd_category_t0,24,24,24,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,13,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,VSCS
NIO_2018_MEKUNU_20180524_0000Z,NIO_2018_MEKUNU,2018-05-24T00:00:00+00:00,imd_category_t0,24,24,24,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,14,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,VSCS
NIO_2018_MEKUNU_20180524_0300Z,NIO_2018_MEKUNU,2018-05-24T03:00:00+00:00,imd_category_t0,28,28,28,27_60dae9_rsmc-2018.pdf,70,Table 2.3.1,15,EXTRACTION_COLUMN_SHIFT,Table continuation on p.70 detected with 10 cols instead of 9; pressure drop shifted into grade column.,Re-extract p.70 with corrected column alignment or map grade from column 9.,RESOLVED_BY_SOURCE_CORRECTION,VSCS
