sample_id,storm_id,split,t0,grid_sat_t_minus_15h,grid_sat_t_minus_12h,grid_sat_t_minus_9h,grid_sat_t_minus_6h,grid_sat_t_minus_3h,grid_sat_t0,insat_t_minus_15h,insat_t_minus_12h,insat_t_minus_9h,insat_t_minus_6h,insat_t_minus_3h,insat_t0,insat_timestamps,timestamp_offsets_minutes,max_offset_minutes,mean_offset_minutes,channels,calibration_status,spatial_projection,spatial_shape,is_causal_verified,current_center_lat,current_center_lon,current_wind_kt,current_pressure_hpa,current_category,target_center_12h_lat,target_center_12h_lon,target_wind_12h_kt,target_pressure_12h_hpa,target_category_12h,has_target_12h,target_center_24h_lat,target_center_24h_lon,target_wind_24h_kt,target_pressure_24h_hpa,target_category_24h,has_target_24h,target_center_48h_lat,target_center_48h_lon,target_wind_48h_kt,target_pressure_48h_hpa,target_category_48h,has_target_48h
NIO_2014_NILOFAR_20141025_0000Z,NIO_2014_NILOFAR,TRAIN,2014-10-25T00:00:00Z,data/interim/gridsat/2014/gridsat_2014.10.24.09.npz,data/interim/gridsat/2014/gridsat_2014.10.24.12.npz,data/interim/gridsat/2014/gridsat_2014.10.24.15.npz,data/interim/gridsat/2014/gridsat_2014.10.24.18.npz,data/interim/gridsat/2014/gridsat_2014.10.24.21.npz,data/interim/gridsat/2014/gridsat_2014.10.25.00.npz,3DIMG_24OCT2014_0900_L1C_ASIA_MER_V01R00.h5,3DIMG_24OCT2014_1200_L1C_ASIA_MER_V01R00.h5,3DIMG_24OCT2014_1500_L1C_ASIA_MER_V01R00.h5,3DIMG_24OCT2014_1900_L1C_ASIA_MER_V01R00.h5,3DIMG_24OCT2014_2100_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_0000_L1C_ASIA_MER_V01R00.h5,"[""2014-10-24T09:00:00Z"", ""2014-10-24T12:00:00Z"", ""2014-10-24T15:00:00Z"", ""2014-10-24T19:00:00Z"", ""2014-10-24T21:00:00Z"", ""2014-10-25T00:00:00Z""]","[0.0, 0.0, 0.0, 60.0, 0.0, 0.0]",60.0,10.0,"IMG_TIR1,IMG_TIR2,IMG_WV",CALIBRATED_LUT_TEMPERATURE_KELVIN,Mercator_Remapped_0.07deg,572x929,True,12.5,61.5,25.0,1004.0,D,13.0,61.0,25.0,1003.0,D,True,14.0,62.0,25.0,1002.0,D,True,14.8,62.0,55.0,990.0,SCS,True
NIO_2014_NILOFAR_20141025_0300Z,NIO_2014_NILOFAR,TRAIN,2014-10-25T03:00:00Z,data/interim/gridsat/2014/gridsat_2014.10.24.12.npz,data/interim/gridsat/2014/gridsat_2014.10.24.15.npz,data/interim/gridsat/2014/gridsat_2014.10.24.18.npz,data/interim/gridsat/2014/gridsat_2014.10.24.21.npz,data/interim/gridsat/2014/gridsat_2014.10.25.00.npz,data/interim/gridsat/2014/gridsat_2014.10.25.03.npz,3DIMG_24OCT2014_1200_L1C_ASIA_MER_V01R00.h5,3DIMG_24OCT2014_1500_L1C_ASIA_MER_V01R00.h5,3DIMG_24OCT2014_1900_L1C_ASIA_MER_V01R00.h5,3DIMG_24OCT2014_2100_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_0000_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_0300_L1C_ASIA_MER_V01R00.h5,"[""2014-10-24T12:00:00Z"", ""2014-10-24T15:00:00Z"", ""2014-10-24T19:00:00Z"", ""2014-10-24T21:00:00Z"", ""2014-10-25T00:00:00Z"", ""2014-10-25T03:00:00Z""]","[0.0, 0.0, 60.0, 0.0, 0.0, 0.0]",60.0,10.0,"IMG_TIR1,IMG_TIR2,IMG_WV",CALIBRATED_LUT_TEMPERATURE_KELVIN,Mercator_Remapped_0.07deg,572x929,True,12.5,61.5,25.0,1004.0,D,,,,,NONE,False,14.0,62.0,30.0,999.0,DD,True,14.9,62.0,60.0,990.0,SCS,True
NIO_2014_NILOFAR_20141025_0600Z,NIO_2014_NILOFAR,TRAIN,2014-10-25T06:00:00Z,data/interim/gridsat/2014/gridsat_2014.10.24.15.npz,data/interim/gridsat/2014/gridsat_2014.10.24.18.npz,data/interim/gridsat/2014/gridsat_2014.10.24.21.npz,data/interim/gridsat/2014/gridsat_2014.10.25.00.npz,data/interim/gridsat/2014/gridsat_2014.10.25.03.npz,data/interim/gridsat/2014/gridsat_2014.10.25.06.npz,3DIMG_24OCT2014_1500_L1C_ASIA_MER_V01R00.h5,3DIMG_24OCT2014_1900_L1C_ASIA_MER_V01R00.h5,3DIMG_24OCT2014_2100_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_0000_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_0300_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_0600_L1C_ASIA_MER_V01R00.h5,"[""2014-10-24T15:00:00Z"", ""2014-10-24T19:00:00Z"", ""2014-10-24T21:00:00Z"", ""2014-10-25T00:00:00Z"", ""2014-10-25T03:00:00Z"", ""2014-10-25T06:00:00Z""]","[0.0, 60.0, 0.0, 0.0, 0.0, 0.0]",60.0,10.0,"IMG_TIR1,IMG_TIR2,IMG_WV",CALIBRATED_LUT_TEMPERATURE_KELVIN,Mercator_Remapped_0.07deg,572x929,True,12.5,61.5,25.0,1004.0,D,13.0,61.0,25.0,1003.0,D,True,14.1,62.0,35.0,998.0,CS,True,14.9,62.0,65.0,986.0,VSCS,True
NIO_2014_NILOFAR_20141025_1200Z,NIO_2014_NILOFAR,TRAIN,2014-10-25T12:00:00Z,data/interim/gridsat/2014/gridsat_2014.10.24.21.npz,data/interim/gridsat/2014/gridsat_2014.10.25.00.npz,data/interim/gridsat/2014/gridsat_2014.10.25.03.npz,data/interim/gridsat/2014/gridsat_2014.10.25.06.npz,data/interim/gridsat/2014/gridsat_2014.10.25.09.npz,data/interim/gridsat/2014/gridsat_2014.10.25.12.npz,3DIMG_24OCT2014_2100_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_0000_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_0300_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_0600_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_0900_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_1200_L1C_ASIA_MER_V01R00.h5,"[""2014-10-24T21:00:00Z"", ""2014-10-25T00:00:00Z"", ""2014-10-25T03:00:00Z"", ""2014-10-25T06:00:00Z"", ""2014-10-25T09:00:00Z"", ""2014-10-25T12:00:00Z""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"IMG_TIR1,IMG_TIR2,IMG_WV",CALIBRATED_LUT_TEMPERATURE_KELVIN,Mercator_Remapped_0.07deg,572x929,True,13.0,61.0,25.0,1003.0,D,14.0,62.0,25.0,1002.0,D,True,14.2,62.0,40.0,994.0,CS,True,15.0,62.0,70.0,982.0,VSCS,True
NIO_2014_NILOFAR_20141025_1800Z,NIO_2014_NILOFAR,TRAIN,2014-10-25T18:00:00Z,data/interim/gridsat/2014/gridsat_2014.10.25.03.npz,data/interim/gridsat/2014/gridsat_2014.10.25.06.npz,data/interim/gridsat/2014/gridsat_2014.10.25.09.npz,data/interim/gridsat/2014/gridsat_2014.10.25.12.npz,data/interim/gridsat/2014/gridsat_2014.10.25.15.npz,data/interim/gridsat/2014/gridsat_2014.10.25.18.npz,3DIMG_25OCT2014_0300_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_0600_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_0900_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_1200_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_1500_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_1800_L1C_ASIA_MER_V01R00.h5,"[""2014-10-25T03:00:00Z"", ""2014-10-25T06:00:00Z"", ""2014-10-25T09:00:00Z"", ""2014-10-25T12:00:00Z"", ""2014-10-25T15:00:00Z"", ""2014-10-25T18:00:00Z""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"IMG_TIR1,IMG_TIR2,IMG_WV",CALIBRATED_LUT_TEMPERATURE_KELVIN,Mercator_Remapped_0.07deg,572x929,True,13.0,61.0,25.0,1003.0,D,14.1,62.0,35.0,998.0,CS,True,14.4,62.0,45.0,994.0,CS,True,15.3,62.0,70.0,980.0,VSCS,True
NIO_2014_NILOFAR_20141026_0000Z,NIO_2014_NILOFAR,TRAIN,2014-10-26T00:00:00Z,data/interim/gridsat/2014/gridsat_2014.10.25.09.npz,data/interim/gridsat/2014/gridsat_2014.10.25.12.npz,data/interim/gridsat/2014/gridsat_2014.10.25.15.npz,data/interim/gridsat/2014/gridsat_2014.10.25.18.npz,data/interim/gridsat/2014/gridsat_2014.10.25.21.npz,data/interim/gridsat/2014/gridsat_2014.10.26.00.npz,3DIMG_25OCT2014_0900_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_1200_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_1500_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_1900_L1C_ASIA_MER_V01R00.h5,3DIMG_25OCT2014_2100_L1C_ASIA_MER_V01R00.h5,3DIMG_26OCT2014_0000_L1C_ASIA_MER_V01R00.h5,"[""2014-10-25T09:00:00Z"", ""2014-10-25T12:00:00Z"", ""2014-10-25T15:00:00Z"", ""2014-10-25T19:00:00Z"", ""2014-10-25T21:00:00Z"", ""2014-10-26T00:00:00Z""]","[0.0, 0.0, 0.0, 60.0, 0.0, 0.0]",60.0,10.0,"IMG_TIR1,IMG_TIR2,IMG_WV",CALIBRATED_LUT_TEMPERATURE_KELVIN,Mercator_Remapped_0.07deg,572x929,True,14.0,62.0,25.0,1002.0,D,14.2,62.0,40.0,994.0,CS,True,14.8,62.0,55.0,990.0,SCS,True,15.7,61.8,75.0,978.0,VSCS,True
NIO_2014_UNNAMED_03_20140803_1200Z,NIO_2014_UNNAMED_03,TRAIN,2014-08-03T12:00:00Z,data/interim/gridsat/2014/gridsat_2014.08.02.21.npz,data/interim/gridsat/2014/gridsat_2014.08.03.00.npz,data/interim/gridsat/2014/gridsat_2014.08.03.03.npz,data/interim/gridsat/2014/gridsat_2014.08.03.06.npz,data/interim/gridsat/2014/gridsat_2014.08.03.09.npz,data/interim/gridsat/2014/gridsat_2014.08.03.12.npz,3DIMG_02AUG2014_2100_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_0000_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_0300_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_0600_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_0900_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_1200_L1C_ASIA_MER_V01R00.h5,"[""2014-08-02T21:00:00Z"", ""2014-08-03T00:00:00Z"", ""2014-08-03T03:00:00Z"", ""2014-08-03T06:00:00Z"", ""2014-08-03T09:00:00Z"", ""2014-08-03T12:00:00Z""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"IMG_TIR1,IMG_TIR2,IMG_WV",CALIBRATED_LUT_TEMPERATURE_KELVIN,Mercator_Remapped_0.07deg,572x929,True,21.5,88.5,25.0,990.0,D,22.3,87.6,30.0,990.0,DD,True,22.2,86.1,30.0,990.0,DD,True,24.0,82.0,25.0,992.0,D,True
NIO_2014_UNNAMED_03_20140803_1800Z,NIO_2014_UNNAMED_03,TRAIN,2014-08-03T18:00:00Z,data/interim/gridsat/2014/gridsat_2014.08.03.03.npz,data/interim/gridsat/2014/gridsat_2014.08.03.06.npz,data/interim/gridsat/2014/gridsat_2014.08.03.09.npz,data/interim/gridsat/2014/gridsat_2014.08.03.12.npz,data/interim/gridsat/2014/gridsat_2014.08.03.15.npz,data/interim/gridsat/2014/gridsat_2014.08.03.18.npz,3DIMG_03AUG2014_0300_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_0600_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_0900_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_1200_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_1500_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_1800_L1C_ASIA_MER_V01R00.h5,"[""2014-08-03T03:00:00Z"", ""2014-08-03T06:00:00Z"", ""2014-08-03T09:00:00Z"", ""2014-08-03T12:00:00Z"", ""2014-08-03T15:00:00Z"", ""2014-08-03T18:00:00Z""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"IMG_TIR1,IMG_TIR2,IMG_WV",CALIBRATED_LUT_TEMPERATURE_KELVIN,Mercator_Remapped_0.07deg,572x929,True,21.9,88.3,30.0,990.0,DD,22.5,86.5,30.0,990.0,DD,True,22.2,85.1,30.0,990.0,DD,True,24.2,81.3,25.0,992.0,D,True
NIO_2014_UNNAMED_03_20140804_0000Z,NIO_2014_UNNAMED_03,TRAIN,2014-08-04T00:00:00Z,data/interim/gridsat/2014/gridsat_2014.08.03.09.npz,data/interim/gridsat/2014/gridsat_2014.08.03.12.npz,data/interim/gridsat/2014/gridsat_2014.08.03.15.npz,data/interim/gridsat/2014/gridsat_2014.08.03.18.npz,data/interim/gridsat/2014/gridsat_2014.08.03.21.npz,data/interim/gridsat/2014/gridsat_2014.08.04.00.npz,3DIMG_03AUG2014_0900_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_1200_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_1500_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_1800_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_2100_L1C_ASIA_MER_V01R00.h5,3DIMG_04AUG2014_0000_L1C_ASIA_MER_V01R00.h5,"[""2014-08-03T09:00:00Z"", ""2014-08-03T12:00:00Z"", ""2014-08-03T15:00:00Z"", ""2014-08-03T18:00:00Z"", ""2014-08-03T21:00:00Z"", ""2014-08-04T00:00:00Z""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"IMG_TIR1,IMG_TIR2,IMG_WV",CALIBRATED_LUT_TEMPERATURE_KELVIN,Mercator_Remapped_0.07deg,572x929,True,22.3,87.6,30.0,990.0,DD,22.2,86.1,30.0,990.0,DD,True,22.2,84.1,30.0,990.0,DD,True,24.4,80.6,25.0,992.0,D,True
NIO_2014_UNNAMED_03_20140804_0300Z,NIO_2014_UNNAMED_03,TRAIN,2014-08-04T03:00:00Z,data/interim/gridsat/2014/gridsat_2014.08.03.12.npz,data/interim/gridsat/2014/gridsat_2014.08.03.15.npz,data/interim/gridsat/2014/gridsat_2014.08.03.18.npz,data/interim/gridsat/2014/gridsat_2014.08.03.21.npz,data/interim/gridsat/2014/gridsat_2014.08.04.00.npz,data/interim/gridsat/2014/gridsat_2014.08.04.03.npz,3DIMG_03AUG2014_1200_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_1500_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_1800_L1C_ASIA_MER_V01R00.h5,3DIMG_03AUG2014_2100_L1C_ASIA_MER_V01R00.h5,3DIMG_04AUG2014_0000_L1C_ASIA_MER_V01R00.h5,3DIMG_04AUG2014_0300_L1C_ASIA_MER_V01R00.h5,"[""2014-08-03T12:00:00Z"", ""2014-08-03T15:00:00Z"", ""2014-08-03T18:00:00Z"", ""2014-08-03T21:00:00Z"", ""2014-08-04T00:00:00Z"", ""2014-08-04T03:00:00Z""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"IMG_TIR1,IMG_TIR2,IMG_WV",CALIBRATED_LUT_TEMPERATURE_KELVIN,Mercator_Remapped_0.07deg,572x929,True,22.5,87.2,30.0,990.0,DD,,,,,NONE,False,22.2,83.5,30.0,994.0,DD,True,24.5,80.2,25.0,996.0,D,True
