sample_id,storm_id,split,t0,frame_t_minus_15h,frame_t_minus_12h,frame_t_minus_9h,frame_t_minus_6h,frame_t_minus_3h,frame_t0,imd_lat_t0,imd_lon_t0,imd_wind_t0,imd_pressure_t0,imd_category_t0,imd_lat_12h,imd_lon_12h,wind_12h,pressure_12h,category_12h,imd_lat_24h,imd_lon_24h,wind_24h,pressure_24h,category_24h,imd_lat_48h,imd_lon_48h,wind_48h,pressure_48h,category_48h
NIO_1998_UNNAMED_31_19981007_0300Z,NIO_1998_UNNAMED_31,TRAIN,1998-10-07T03:00:00+00:00,data/interim/gridsat/1998/gridsat_1998.10.06.12.npz,data/interim/gridsat/1998/gridsat_1998.10.06.15.npz,data/interim/gridsat/1998/gridsat_1998.10.06.18.npz,data/interim/gridsat/1998/gridsat_1998.10.06.21.npz,data/interim/gridsat/1998/gridsat_1998.10.07.00.npz,data/interim/gridsat/1998/gridsat_1998.10.07.03.npz,14.0,69.0,15.0,1004.0,,14.0,68.0,25.0,1002.0,,14.0,67.0,30.0,1002.0,DD,15.0,64.5,30.0,1002.0,DD
NIO_1999_UNNAMED_13_19990201_0300Z,NIO_1999_UNNAMED_13,TRAIN,1999-02-01T03:00:00+00:00,data/interim/gridsat/1999/gridsat_1999.01.31.12.npz,data/interim/gridsat/1999/gridsat_1999.01.31.15.npz,data/interim/gridsat/1999/gridsat_1999.01.31.18.npz,data/interim/gridsat/1999/gridsat_1999.01.31.21.npz,data/interim/gridsat/1999/gridsat_1999.02.01.00.npz,data/interim/gridsat/1999/gridsat_1999.02.01.03.npz,9.0,89.0,25.0,1006.0,D,9.0,88.0,25.0,1004.0,D,9.5,86.0,15.0,1006.0,D,11.5,86.0,50.0,998.0,CS
NIO_2002_UNNAMED_25_20021110_1200Z,NIO_2002_UNNAMED_25,TRAIN,2002-11-10T12:00:00+00:00,data/interim/gridsat/2002/gridsat_2002.11.09.21.npz,data/interim/gridsat/2002/gridsat_2002.11.10.00.npz,data/interim/gridsat/2002/gridsat_2002.11.10.03.npz,data/interim/gridsat/2002/gridsat_2002.11.10.06.npz,data/interim/gridsat/2002/gridsat_2002.11.10.09.npz,data/interim/gridsat/2002/gridsat_2002.11.10.12.npz,12.0,82.5,30.0,1002.0,DD,13.5,82.5,20.0,1004.0,DD,16.0,84.5,25.0,996.0,CS,24.0,90.0,,,DD
NIO_2002_UNNAMED_29_20021123_0600Z,NIO_2002_UNNAMED_29,TRAIN,2002-11-23T06:00:00+00:00,data/interim/gridsat/2002/gridsat_2002.11.22.15.npz,data/interim/gridsat/2002/gridsat_2002.11.22.18.npz,data/interim/gridsat/2002/gridsat_2002.11.22.21.npz,data/interim/gridsat/2002/gridsat_2002.11.23.00.npz,data/interim/gridsat/2002/gridsat_2002.11.23.03.npz,data/interim/gridsat/2002/gridsat_2002.11.23.06.npz,10.5,87.0,25.0,1004.0,D,12.5,87.0,20.0,1002.0,DD,13.5,87.5,25.0,,CS,15.5,88.0,25.0,1002.0,CS
NIO_2002_UNNAMED_29_20021123_1200Z,NIO_2002_UNNAMED_29,TRAIN,2002-11-23T12:00:00+00:00,data/interim/gridsat/2002/gridsat_2002.11.22.21.npz,data/interim/gridsat/2002/gridsat_2002.11.23.00.npz,data/interim/gridsat/2002/gridsat_2002.11.23.03.npz,data/interim/gridsat/2002/gridsat_2002.11.23.06.npz,data/interim/gridsat/2002/gridsat_2002.11.23.09.npz,data/interim/gridsat/2002/gridsat_2002.11.23.12.npz,12.0,87.0,25.0,1002.0,D,13.0,87.5,20.0,1002.0,DD,15.0,88.0,35.0,1000.0,CS,15.5,88.0,25.0,1000.0,CS
NIO_2002_UNNAMED_29_20021124_0000Z,NIO_2002_UNNAMED_29,TRAIN,2002-11-24T00:00:00+00:00,data/interim/gridsat/2002/gridsat_2002.11.23.09.npz,data/interim/gridsat/2002/gridsat_2002.11.23.12.npz,data/interim/gridsat/2002/gridsat_2002.11.23.15.npz,data/interim/gridsat/2002/gridsat_2002.11.23.18.npz,data/interim/gridsat/2002/gridsat_2002.11.23.21.npz,data/interim/gridsat/2002/gridsat_2002.11.24.00.npz,13.0,87.5,20.0,1002.0,DD,15.0,88.0,35.0,1000.0,CS,15.5,88.0,25.0,1002.0,CS,16.0,88.0,25.0,1002.0,CS
NIO_2002_UNNAMED_29_20021124_1200Z,NIO_2002_UNNAMED_29,TRAIN,2002-11-24T12:00:00+00:00,data/interim/gridsat/2002/gridsat_2002.11.23.21.npz,data/interim/gridsat/2002/gridsat_2002.11.24.00.npz,data/interim/gridsat/2002/gridsat_2002.11.24.03.npz,data/interim/gridsat/2002/gridsat_2002.11.24.06.npz,data/interim/gridsat/2002/gridsat_2002.11.24.09.npz,data/interim/gridsat/2002/gridsat_2002.11.24.12.npz,15.0,88.0,35.0,1000.0,CS,15.5,88.0,25.0,1002.0,CS,15.5,88.0,25.0,1000.0,CS,16.5,88.5,25.0,1000.0,CS
NIO_2005_IN_20050115_0300Z,NIO_2005_IN,TRAIN,2005-01-15T03:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.01.14.12.npz,data/interim/gridsat/2005/gridsat_2005.01.14.15.npz,data/interim/gridsat/2005/gridsat_2005.01.14.18.npz,data/interim/gridsat/2005/gridsat_2005.01.14.21.npz,data/interim/gridsat/2005/gridsat_2005.01.15.00.npz,data/interim/gridsat/2005/gridsat_2005.01.15.03.npz,5.5,87.0,35.0,1002.0,CS,5.5,87.0,35.0,1002.0,CS,5.5,86.5,35.0,1004.0,CS,5.0,86.0,30.0,1004.0,DD
NIO_2005_UNNAMED_2_10_20051128_0300Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-28T03:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.27.12.npz,data/interim/gridsat/2005/gridsat_2005.11.27.15.npz,data/interim/gridsat/2005/gridsat_2005.11.27.18.npz,data/interim/gridsat/2005/gridsat_2005.11.27.21.npz,data/interim/gridsat/2005/gridsat_2005.11.28.00.npz,data/interim/gridsat/2005/gridsat_2005.11.28.03.npz,10.5,90.5,25.0,1006.0,D,10.5,88.0,30.0,1004.0,DD,10.5,87.0,45.0,1002.0,CS,12.0,84.0,45.0,998.0,CS
NIO_2005_UNNAMED_2_10_20051128_0600Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-28T06:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.27.15.npz,data/interim/gridsat/2005/gridsat_2005.11.27.18.npz,data/interim/gridsat/2005/gridsat_2005.11.27.21.npz,data/interim/gridsat/2005/gridsat_2005.11.28.00.npz,data/interim/gridsat/2005/gridsat_2005.11.28.03.npz,data/interim/gridsat/2005/gridsat_2005.11.28.06.npz,10.5,90.0,30.0,1004.0,DD,10.5,88.0,35.0,1004.0,CS,11.0,86.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS
