storm_id,storm_name,source_storm_name,year,timestamp_utc,latitude,longitude,maximum_sustained_wind_kt,central_pressure_hpa,category,split,source_file,source_report,source_page,source_table,source_row,extraction_method,quality_flag,manual_review_required,manual_review_reason,raw_date,raw_time,raw_latitude,raw_longitude,raw_wind,raw_pressure,raw_category,raw_ci_no,raw_pressure_drop
NIO_1998_UNNAMED_10,,,1998,1993-05-17T12:00:00+00:00,14.5,88.0,25.0,998.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,10,OCR_PAGE_10,7,OCR,VERIFIED,True,OCR_OBSERVATION,17.5.93,1200,14.5,88.0,25,998,,,
NIO_1998_UNNAMED_10,,,1998,1993-05-17T18:00:00+00:00,15.0,88.5,15.0,998.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,10,OCR_PAGE_10,8,OCR,VERIFIED,True,OCR_OBSERVATION,17.5.93,1800,15.0,88.5,15,998,,,
NIO_1998_UNNAMED_10,,,1998,1998-05-18T03:00:00+00:00,15.5,88.5,15.0,998.0,D,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,10,OCR_PAGE_10,10,OCR,VERIFIED,True,OCR_OBSERVATION,18.5.98,300,15.5,88.5,15,998,D,,
NIO_1998_UNNAMED_10,,,1998,1998-05-18T06:00:00+00:00,16.0,88.5,30.0,996.0,DD,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,10,OCR_PAGE_10,11,OCR,VERIFIED,True,OCR_OBSERVATION,18.5.98,600,16.0,88.5,30,996,DD,,
NIO_1998_UNNAMED_10,,,1998,1998-05-18T09:00:00+00:00,16.5,89.0,25.0,992.0,CS,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,10,OCR_PAGE_10,12,OCR,VERIFIED,True,OCR_OBSERVATION,18.5.98,900,16.5,89.0,25,992,CS,,
NIO_1998_UNNAMED_10,,,1998,1998-05-18T12:00:00+00:00,17.0,89.5,25.0,994.0,CS,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,10,OCR_PAGE_10,13,OCR,VERIFIED,True,OCR_OBSERVATION,18.5.98,1200,17.0,89.5,25,994,CS,,
NIO_1998_UNNAMED_10,,,1998,1998-05-18T18:00:00+00:00,18.0,89.5,35.0,994.0,CS,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,10,OCR_PAGE_10,14,OCR,VERIFIED,True,OCR_OBSERVATION,18.5.98,1800,18.0,89.5,35,994,CS,,
NIO_1998_UNNAMED_10,,,1998,1998-05-19T03:00:00+00:00,19.5,90.5,35.0,990.0,CS,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,10,OCR_PAGE_10,16,OCR,VERIFIED,True,OCR_OBSERVATION,18.5.98,300,19.5,90.5,35,990,CS,,
NIO_1998_UNNAMED_10,,,1998,1998-05-19T06:00:00+00:00,20.0,90.5,55.0,986.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,10,OCR_PAGE_10,17,OCR,VERIFIED,True,OCR_OBSERVATION,18.5.98,600,20.0,90.5,55,986,,,
NIO_1998_UNNAMED_10,,,1998,1998-05-19T12:00:00+00:00,20.5,90.5,55.0,976.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,10,OCR_PAGE_10,18,OCR,VERIFIED,True,OCR_OBSERVATION,18.5.98,1200,20.5,90.5,55,976,,,
NIO_1998_UNNAMED_10,,,1998,1998-05-19T18:00:00+00:00,21.0,91.0,60.0,974.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,10,OCR_PAGE_10,19,OCR,VERIFIED,True,OCR_OBSERVATION,18.5.98,1800,21.0,91.0,60,974,,,
NIO_1998_UNNAMED_10,,,1998,1998-05-20T03:00:00+00:00,22.0,92.5,,,DD,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,10,OCR_PAGE_10,23,OCR,SOURCE_MISSING,True,OCR_OBSERVATION,20.5.98,300,22.0,92.5,,,DD,,
NIO_1998_UNNAMED_16,,,1998,1998-05-20T06:00:00+00:00,10.5,69.5,25.0,,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,16,OCR_PAGE_16,9,OCR,SOURCE_MISSING,True,OCR_OBSERVATION,20.5.98,600,10.5,69.5,25,,,,
NIO_1998_UNNAMED_10,,,1998,1998-05-20T12:00:00+00:00,23.5,92.5,,,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,10,OCR_PAGE_10,24,OCR,SOURCE_MISSING,True,OCR_OBSERVATION,20.5.98,1200,23.5,92.5,,,,,
NIO_1998_UNNAMED_16,,,1998,1998-05-20T12:00:00+00:00,11.0,69.0,20.0,,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,16,OCR_PAGE_16,10,OCR,SOURCE_MISSING,True,OCR_OBSERVATION,20.5.98,1200,11.0,69.0,20,,,,
NIO_1998_UNNAMED_16,,,1998,1998-06-05T03:00:00+00:00,69.0,3.0,45.0,996.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,16,OCR_PAGE_16,17,OCR,VERIFIED,True,OCR_OBSERVATION,5.6.98,300,69.0,3.0,45,996,,,
NIO_1998_UNNAMED_16,,,1998,1998-06-05T10:04:00+00:00,11.0,70.0,,1004.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,16,OCR_PAGE_16,11,OCR,SOURCE_MISSING,True,OCR_OBSERVATION,5.6.98,1004,11.0,70.0,,1004,,,
NIO_1998_UNNAMED_16,,,1998,1998-06-05T12:00:00+00:00,6.6,69.0,93.0,996.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,16,OCR_PAGE_16,16,OCR,VERIFIED,True,OCR_OBSERVATION,5.6.98,12,6.6,69.0,93,996,,,
NIO_1998_UNNAMED_16,,,1998,1998-06-05T17:00:00+00:00,13.0,69.0,15.0,987.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,16,OCR_PAGE_16,19,OCR,VERIFIED,True,OCR_OBSERVATION,5.6.98,1700,13.0,69.0,15,987,,,
NIO_1998_UNNAMED_16,,,1998,1998-06-07T03:00:00+00:00,14.5,68.0,55.0,999.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,16,OCR_PAGE_16,22,OCR,VERIFIED,True,OCR_OBSERVATION,7.6.98,300,14.5,68.0,55,999,,,
NIO_1998_UNNAMED_16,,,1998,1998-06-07T17:00:00+00:00,16.0,68.0,45.0,970.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,16,OCR_PAGE_16,25,OCR,VERIFIED,True,OCR_OBSERVATION,7.6.98,1700,16.0,68.0,45,970,,,
NIO_1998_UNNAMED_16,,,1998,1998-06-08T03:00:00+00:00,18.0,67.5,30.0,970.0,VSCS,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,16,OCR_PAGE_16,28,OCR,VERIFIED,True,OCR_OBSERVATION,8.6.98,300,18.0,67.5,30,970,VSCS,,
NIO_1998_UNNAMED_26,,,1998,1998-06-13T15:00:00+00:00,17.5,87.5,15.0,994.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,26,OCR_PAGE_26,8,OCR,VERIFIED,True,OCR_OBSERVATION,13.6.98,1500,17.5,87.5,15,994,,,
NIO_1998_UNNAMED_26,,,1998,1998-06-13T18:00:00+00:00,17.5,86.0,30.0,995.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,26,OCR_PAGE_26,9,OCR,VERIFIED,True,OCR_OBSERVATION,13.6.98,1800,17.5,86.0,30,995,,,
NIO_1998_UNNAMED_26,,,1998,1998-06-14T03:00:00+00:00,17.5,84.5,20.0,995.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,26,OCR_PAGE_26,13,OCR,VERIFIED,True,OCR_OBSERVATION,14.6.98,300,17.5,84.5,20,995,,,
NIO_1998_UNNAMED_26,,,1998,1998-06-14T06:00:00+00:00,17.5,83.5,20.0,995.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,26,OCR_PAGE_26,15,OCR,VERIFIED,True,OCR_OBSERVATION,14.6.98,600,17.5,83.5,20,995,,,
NIO_1998_UNNAMED_26,,,1998,1998-06-14T12:00:00+00:00,17.5,83.0,20.0,992.0,DD,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,26,OCR_PAGE_26,17,OCR,VERIFIED,True,OCR_OBSERVATION,14.6.98,1200,17.5,83.0,20,992,DD,,
NIO_1998_UNNAMED_26,,,1998,1998-06-14T18:00:00+00:00,18.5,81.5,,,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,26,OCR_PAGE_26,19,OCR,SOURCE_MISSING,True,OCR_OBSERVATION,14.6.98,1800,18.5,81.5,,,,,
NIO_1998_UNNAMED_26,,,1998,1998-06-15T00:00:00+00:00,19.5,80.5,,,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,26,OCR_PAGE_26,20,OCR,SOURCE_MISSING,True,OCR_OBSERVATION,15.6.98,0,19.5,80.5,,,,,
NIO_1998_UNNAMED_26,,,1998,1998-06-15T03:00:00+00:00,20.0,80.0,,,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,26,OCR_PAGE_26,21,OCR,SOURCE_MISSING,True,OCR_OBSERVATION,15.6.98,300,20.0,80.0,,,,,
NIO_1998_UNNAMED_31,,,1998,1998-10-06T12:00:00+00:00,14.0,69.0,25.0,1002.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,31,OCR_PAGE_31,8,OCR,VERIFIED,True,OCR_OBSERVATION,6.10.98,1200,14.0,69.0,25,1002,,,
NIO_1998_UNNAMED_31,,,1998,1998-10-06T18:00:00+00:00,14.0,69.0,15.0,1002.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,31,OCR_PAGE_31,9,OCR,VERIFIED,True,OCR_OBSERVATION,6.10.98,1800,14.0,69.0,15,1002,,,
NIO_1998_UNNAMED_31,,,1998,1998-10-07T00:00:00+00:00,14.0,69.0,15.0,1002.0,,TRAIN,27_01a386_35_872370_1998.pdf,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 1998,31,OCR_PAGE_31,10,OCR,VERIFIED,True,OCR_OBSERVATION,7.10.98,0,14.0,69.0,15,1002,,,
